URL,TTL,Response_Message
hootsuite.com,0,"traceroute to hootsuite.com (34.231.155.24), 30 hops max, 60 byte packets
"
hootsuite.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.279 ms  0.266 ms  0.315 ms
"
hootsuite.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  1.988 ms  2.118 ms  2.280 ms
"
hootsuite.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.501 ms  17.388 ms  17.387 ms
"
hootsuite.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.308 ms  22.266 ms  22.264 ms
"
hootsuite.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.640 ms  30.643 ms  30.604 ms
"
hootsuite.com,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.710 ms  39.588 ms  39.640 ms
"
hootsuite.com,7," 7  be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  116.612 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  114.990 ms  115.141 ms
"
hootsuite.com,8," 8  be2490.ccr42.jfk02.atlas.cogentco.com (154.54.42.85)  119.858 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  115.820 ms be3628.ccr42.jfk02.atlas.cogentco.com (154.54.27.169)  118.695 ms
"
hootsuite.com,9," 9  be3472.ccr42.jfk02.atlas.cogentco.com (154.54.46.34)  115.530 ms be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  117.002 ms be3472.ccr42.jfk02.atlas.cogentco.com (154.54.46.34)  115.740 ms
"
hootsuite.com,10,"10  be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  116.064 ms 38.140.107.42 (38.140.107.42)  114.987 ms 38.140.106.162 (38.140.106.162)  130.315 ms
"
hootsuite.com,11,"11  52.93.31.35 (52.93.31.35)  114.947 ms 52.93.31.49 (52.93.31.49)  121.147 ms 52.93.31.39 (52.93.31.39)  120.035 ms
"
hootsuite.com,12,"12  52.93.4.44 (52.93.4.44)  111.157 ms 52.93.4.2 (52.93.4.2)  112.121 ms 52.93.4.54 (52.93.4.54)  111.927 ms
"
hootsuite.com,13,"13  * 52.93.4.10 (52.93.4.10)  111.415 ms *
"
hootsuite.com,14,"14  * 54.240.229.139 (54.240.229.139)  118.077 ms 54.240.229.143 (54.240.229.143)  118.954 ms
"
hootsuite.com,15,"15  * 54.240.229.139 (54.240.229.139)  116.151 ms *
"
hootsuite.com,16,"16  * * *
"
hootsuite.com,17,"17  * * *
"
hootsuite.com,18,"18  * * *
"
hootsuite.com,19,"19  * * *
"
hootsuite.com,20,"20  * * *
"
hootsuite.com,21,"21  * * *
"
hootsuite.com,22,"22  * * *
"
hootsuite.com,23,"23  * * *
"
hootsuite.com,24,"24  * * *
"
hootsuite.com,25,"25  52.93.28.212 (52.93.28.212)  116.295 ms * 52.93.28.198 (52.93.28.198)  117.017 ms
"
hootsuite.com,26,"26  * * 52.93.28.204 (52.93.28.204)  115.988 ms
"
hootsuite.com,27,"27  * * *
"
hootsuite.com,28,"28  * * *
"
hootsuite.com,29,"29  * * *
"
hootsuite.com,30,"30  * * *
"
