URL,TTL,Response_Message
impress.co.jp,0,"traceroute to impress.co.jp (203.183.234.2), 30 hops max, 60 byte packets
"
impress.co.jp,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.527 ms  0.519 ms  0.514 ms
"
impress.co.jp,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.537 ms  0.501 ms  0.494 ms
"
impress.co.jp,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.176 ms  26.177 ms  28.641 ms
"
impress.co.jp,4," 4  xe3-3-6.franco71.fra.seabone.net (89.221.34.254)  50.273 ms  28.889 ms  50.268 ms
"
impress.co.jp,5," 5  ae18.franco32.fra.seabone.net (195.22.211.207)  31.110 ms  29.268 ms  26.472 ms
"
impress.co.jp,6," 6  ae-9.r00.frnkge13.de.bb.gin.ntt.net (129.250.66.17)  31.074 ms  31.062 ms  28.614 ms
"
impress.co.jp,7," 7  ae-1.r25.frnkge08.de.bb.gin.ntt.net (129.250.4.16)  29.210 ms  30.863 ms  29.222 ms
"
impress.co.jp,8," 8  ae-8.r22.asbnva02.us.bb.gin.ntt.net (129.250.4.96)  131.819 ms  131.506 ms  129.970 ms
"
impress.co.jp,9," 9  ae-5.r23.lsanca07.us.bb.gin.ntt.net (129.250.3.189)  187.836 ms  192.628 ms  189.674 ms
"
impress.co.jp,10,"10  ae-12.r31.tokyjp05.jp.bb.gin.ntt.net (129.250.3.192)  304.861 ms  296.245 ms  304.058 ms
"
impress.co.jp,11,"11  ae-3.r03.tokyjp05.jp.bb.gin.ntt.net (129.250.3.56)  299.646 ms ae-3.r02.tokyjp05.jp.bb.gin.ntt.net (129.250.3.28)  282.497 ms  286.922 ms
"
impress.co.jp,12,"12  ae-0.a02.tokyjp05.jp.bb.gin.ntt.net (129.250.6.183)  291.342 ms  292.825 ms ae-1.a02.tokyjp05.jp.bb.gin.ntt.net (129.250.6.189)  289.461 ms
"
impress.co.jp,13,"13  xe-0-0-17-1.a01.tokyjp05.jp.ce.gin.ntt.net (61.213.161.6)  246.744 ms xe-0-0-15-3.a02.tokyjp05.jp.ce.gin.ntt.net (61.213.161.2)  242.467 ms  242.458 ms
"
impress.co.jp,14,"14  158.205.192.233 (158.205.192.233)  238.614 ms  235.726 ms  253.557 ms
"
impress.co.jp,15,"15  158.205.192.233 (158.205.192.233)  238.376 ms  233.677 ms  246.633 ms
"
impress.co.jp,16,"16  * * *
"
impress.co.jp,17,"17  * * *
"
impress.co.jp,18,"18  www.impress.co.jp (203.183.234.2)  243.155 ms  246.467 ms  242.273 ms
"
