URL,TTL,Response_Message
jianshu.com,0,"traceroute to jianshu.com (107.150.101.156), 50 hops max, 60 byte packets
"
jianshu.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.277 ms  0.298 ms  0.351 ms
"
jianshu.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.521 ms  0.610 ms  0.600 ms
"
jianshu.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.132 ms  26.225 ms  28.661 ms
"
jianshu.com,4," 4  ae7-1245.cr1-fra6.ip4.gtt.net (46.33.79.153)  28.069 ms  28.058 ms  28.104 ms
"
jianshu.com,5," 5  * * *
"
jianshu.com,6," 6  * * *
"
jianshu.com,7," 7  * * *
"
jianshu.com,8," 8  * * *
"
jianshu.com,9," 9  * * *
"
jianshu.com,10,"10  * * *
"
jianshu.com,11,"11  * * *
"
jianshu.com,12,"12  * * *
"
jianshu.com,13,"13  * * *
"
jianshu.com,14,"14  * 107.150.101.156 (107.150.101.156)  188.485 ms  187.794 ms
"
