URL,TTL,Response_Message
kaskus.co.id,0,"traceroute to kaskus.co.id (103.6.117.2), 50 hops max, 60 byte packets
"
kaskus.co.id,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.313 ms  0.299 ms  0.312 ms
"
kaskus.co.id,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  1.772 ms *  0.692 ms
"
kaskus.co.id,3," 3  100.64.65.25 (100.64.65.25)  8.225 ms  8.011 ms  7.786 ms
"
kaskus.co.id,4," 4  100.64.64.141 (100.64.64.141)  30.359 ms  30.083 ms  29.997 ms
"
kaskus.co.id,5," 5  de-cix.sg.gs (80.81.193.18)  30.507 ms  30.361 ms  30.186 ms
"
kaskus.co.id,6," 6  edge-1.v35.sg3.sg.gs (103.14.244.9)  209.067 ms  208.598 ms  209.087 ms
"
kaskus.co.id,7," 7  103.14.244.155 (103.14.244.155)  208.560 ms  208.652 ms  209.069 ms
"
kaskus.co.id,8," 8  203.81.188.209 (203.81.188.209)  224.692 ms  224.540 ms  224.871 ms
"
kaskus.co.id,9," 9  honda.isat.net.id (58.65.240.14)  202.591 ms  202.631 ms  202.629 ms
"
kaskus.co.id,10,"10  HOST-58-65-242-98.isat.net.id (58.65.242.98)  227.330 ms  226.864 ms  227.539 ms
"
kaskus.co.id,11,"11  10.1.0.19 (10.1.0.19)  227.325 ms  227.342 ms  227.133 ms
"
kaskus.co.id,12,"12  10.1.0.34 (10.1.0.34)  230.273 ms  230.605 ms  230.598 ms
"
kaskus.co.id,13,"13  2-id.gb.castle.kaskus.com (103.6.117.2)  227.730 ms  228.386 ms  228.082 ms
"
