URL,TTL,Response_Message
list-manage.com,0,"traceroute to list-manage.com (205.201.132.96), 50 hops max, 60 byte packets
"
list-manage.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.313 ms  0.302 ms  0.367 ms
"
list-manage.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.569 ms  0.722 ms  0.707 ms
"
list-manage.com,3," 3  ae2-7.RT.IRX.VIE.AT.retn.net (87.245.233.137)  19.631 ms  19.537 ms  19.203 ms
"
list-manage.com,4," 4  193.203.0.236 (193.203.0.236)  19.339 ms  19.351 ms  19.388 ms
"
list-manage.com,5," 5  po110.bs-a.sech-vie.netarch.akamai.com (23.57.104.243)  19.843 ms po110.bs-b.sech-vie.netarch.akamai.com (23.57.104.245)  19.837 ms po110.bs-a.sech-vie.netarch.akamai.com (23.57.104.243)  19.914 ms
"
list-manage.com,6," 6  a72-52-1-187.deploy.static.akamaitechnologies.com (72.52.1.187)  20.048 ms  47.302 ms  47.260 ms
"
list-manage.com,7," 7  ae121.access-a.sech-vie.netarch.akamai.com (23.57.104.251)  19.596 ms ae120.access-a.sech-vie.netarch.akamai.com (23.57.104.249)  19.430 ms ae121.access-a.sech-vie.netarch.akamai.com (23.57.104.251)  19.551 ms
"
list-manage.com,8," 8  * * *
"
list-manage.com,9," 9  * * *
"
list-manage.com,10,"10  a72-52-27-180.deploy.static.akamaitechnologies.com (72.52.27.180)  138.533 ms a209-200-171-218.deploy.static.akamaitechnologies.com (209.200.171.218)  129.123 ms a72-52-27-180.deploy.static.akamaitechnologies.com (72.52.27.180)  138.518 ms
"
list-manage.com,11,"11  205.201.132.96 (205.201.132.96)  131.251 ms  137.966 ms  137.007 ms
"
