URL,TTL,Response_Message
naver.jp,0,"traceroute to naver.jp (119.235.235.13), 50 hops max, 60 byte packets
"
naver.jp,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.321 ms  0.334 ms  0.364 ms
"
naver.jp,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  1.017 ms  1.119 ms  1.045 ms
"
naver.jp,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.933 ms  17.950 ms  17.480 ms
"
naver.jp,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.630 ms  22.659 ms  22.685 ms
"
naver.jp,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.489 ms  30.379 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.344 ms
"
naver.jp,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.443 ms  39.591 ms  39.555 ms
"
naver.jp,7," 7  be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  135.491 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  186.862 ms be2249.ccr41.ams03.atlas.cogentco.com (154.54.36.213)  191.118 ms
"
naver.jp,8," 8  be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  186.840 ms  186.495 ms  186.408 ms
"
naver.jp,9," 9  be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  135.610 ms  135.702 ms  135.629 ms
"
naver.jp,10,"10  be3259.ccr31.yyz02.atlas.cogentco.com (154.54.41.205)  190.710 ms be2879.ccr22.cle04.atlas.cogentco.com (154.54.29.173)  186.158 ms  186.128 ms
"
naver.jp,11,"11  be2718.ccr42.ord01.atlas.cogentco.com (154.54.7.129)  185.669 ms be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  135.402 ms be2718.ccr42.ord01.atlas.cogentco.com (154.54.7.129)  185.873 ms
"
naver.jp,12,"12  be2831.ccr21.mci01.atlas.cogentco.com (154.54.42.165)  147.241 ms  152.024 ms  147.501 ms
"
naver.jp,13,"13  be2831.ccr21.mci01.atlas.cogentco.com (154.54.42.165)  189.900 ms be3035.ccr21.den01.atlas.cogentco.com (154.54.5.89)  163.791 ms  163.483 ms
"
naver.jp,14,"14  be3037.ccr21.slc01.atlas.cogentco.com (154.54.41.145)  174.037 ms  169.111 ms  169.975 ms
"
naver.jp,15,"15  be3109.ccr21.sfo01.atlas.cogentco.com (154.54.44.137)  184.062 ms be3110.ccr22.sfo01.atlas.cogentco.com (154.54.44.141)  185.877 ms  185.200 ms
"
naver.jp,16,"16  be3669.ccr41.sjc03.atlas.cogentco.com (154.54.43.10)  190.495 ms  189.923 ms  185.837 ms
"
naver.jp,17,"17  38.88.224.178 (38.88.224.178)  178.984 ms  183.061 ms  183.088 ms
"
naver.jp,18,"18  111.87.3.229 (111.87.3.229)  174.895 ms 111.87.3.113 (111.87.3.113)  179.433 ms 111.87.3.117 (111.87.3.117)  175.698 ms
"
naver.jp,19,"19  oteACS001.int-gw.kddi.ne.jp.13.187.106.in-addr.arpa (106.187.13.13)  274.939 ms 106.187.13.29 (106.187.13.29)  286.857 ms 106.187.13.5 (106.187.13.5)  281.054 ms
"
naver.jp,20,"20  27.85.227.242 (27.85.227.242)  280.005 ms 27.85.227.234 (27.85.227.234)  278.937 ms 27.85.227.246 (27.85.227.246)  280.709 ms
"
naver.jp,21,"21  cm-kot210.int-gw.kddi.ne.jp (125.29.22.174)  279.115 ms cm-kot210.int-gw.kddi.ne.jp (125.29.22.170)  277.901 ms 27.85.227.242 (27.85.227.242)  295.376 ms
"
naver.jp,22,"22  125.29.31.142 (125.29.31.142)  295.335 ms cm-kot210.int-gw.kddi.ne.jp (125.29.22.170)  282.823 ms 125.29.31.142 (125.29.31.142)  285.886 ms
"
naver.jp,23,"23  * * *
"
naver.jp,24,"24  * * *
"
naver.jp,25,"25  * * *
"
naver.jp,26,"26  * * *
"
naver.jp,27,"27  * * *
"
naver.jp,28,"28  * * *
"
naver.jp,29,"29  * * *
"
naver.jp,30,"30  * * *
"
naver.jp,31,"31  119.235.235.13 (119.235.235.13)  288.640 ms  288.694 ms  289.853 ms
"
