URL,TTL,Response_Message
nike.com,0,"traceroute to nike.com (146.197.184.71), 50 hops max, 60 byte packets
"
nike.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  1.357 ms  1.360 ms  1.399 ms
"
nike.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.568 ms  0.511 ms  0.595 ms
"
nike.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.139 ms  28.674 ms  28.666 ms
"
nike.com,4," 4  * * *
"
nike.com,5," 5  ae8.mpr1.fra3.de.zip.zayo.com (64.125.26.233)  31.000 ms  28.666 ms  28.575 ms
"
nike.com,6," 6  ae27.cs1.fra6.de.eth.zayo.com (64.125.31.216)  116.171 ms  116.845 ms  116.855 ms
"
nike.com,7," 7  ae2.cs1.ams17.nl.eth.zayo.com (64.125.29.59)  117.294 ms  117.374 ms  117.358 ms
"
nike.com,8," 8  ae0.cs1.ams10.nl.eth.zayo.com (64.125.29.80)  117.416 ms  117.434 ms  117.404 ms
"
nike.com,9," 9  ae2.cs1.lhr15.uk.eth.zayo.com (64.125.29.17)  118.352 ms  115.858 ms  115.938 ms
"
nike.com,10,"10  * * *
"
nike.com,11,"11  ae5.cs3.lga5.us.eth.zayo.com (64.125.29.126)  117.608 ms * *
"
nike.com,12,"12  ae4.cs1.dca2.us.eth.zayo.com (64.125.29.203)  118.242 ms  117.984 ms  118.701 ms
"
nike.com,13,"13  ae27.cr1.dca2.us.zip.zayo.com (64.125.30.247)  116.502 ms  116.433 ms  117.253 ms
"
nike.com,14,"14  ae14.er5.iad10.us.zip.zayo.com (64.125.28.61)  117.556 ms  117.529 ms  117.499 ms
"
nike.com,15,"15  209.66.120.102.IPYX-076520-960-ZYO.zip.zayo.com (209.66.120.102)  116.262 ms  116.354 ms  118.751 ms
"
nike.com,16,"16  * * *
"
nike.com,17,"17  69.20.1.193 (69.20.1.193)  111.057 ms  113.389 ms  113.443 ms
"
nike.com,18,"18  146.197.184.71 (146.197.184.71)  120.416 ms  116.510 ms  116.417 ms
"
