URL,TTL,Response_Message
rdsa2012.com,0,"traceroute to rdsa2012.com (173.192.101.27), 30 hops max, 60 byte packets
"
rdsa2012.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.328 ms  0.363 ms  0.420 ms
"
rdsa2012.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.671 ms  0.720 ms  0.619 ms
"
rdsa2012.com,3," 3  ae4-2.RT.EQX.FKT.DE.retn.net (87.245.233.164)  33.260 ms  30.154 ms  33.252 ms
"
rdsa2012.com,4," 4  bbr01.xn01.fra01.networklayer.com (80.81.194.167)  31.438 ms  31.427 ms  30.204 ms
"
rdsa2012.com,5," 5  * * *
"
rdsa2012.com,6," 6  * * *
"
rdsa2012.com,7," 7  * * *
"
rdsa2012.com,8," 8  * * *
"
rdsa2012.com,9," 9  * ae2.cbs02.dr01.dal04.networklayer.com (169.45.18.4)  152.809 ms  155.804 ms
"
rdsa2012.com,10,"10  * * *
"
rdsa2012.com,11,"11  ae34.bbr02.eq01.dal03.networklayer.com (50.97.17.59)  153.584 ms  166.961 ms ae34.bbr01.eq01.dal03.networklayer.com (50.97.17.57)  149.891 ms
"
rdsa2012.com,12,"12  ae6.dar01.dal05.networklayer.com (50.97.18.195)  154.199 ms ae6.dar02.dal05.networklayer.com (50.97.18.193)  151.284 ms ae6.dar01.dal05.networklayer.com (50.97.18.195)  153.936 ms
"
rdsa2012.com,13,"13  po1.fcr01.sr01.dal05.networklayer.com (173.192.118.131)  150.971 ms po2.fcr01.sr01.dal05.networklayer.com (173.192.118.133)  151.558 ms po1.fcr01.sr01.dal05.networklayer.com (173.192.118.131)  151.229 ms
"
rdsa2012.com,14,"14  1b.65.c0ad.ip4.static.sl-reverse.com (173.192.101.27)  149.293 ms  152.667 ms  153.451 ms
"
