URL,TTL,Response_Message
realtor.com,0,"traceroute to realtor.com (206.131.180.21), 50 hops max, 60 byte packets
"
realtor.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.471 ms  0.497 ms  0.534 ms
"
realtor.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.817 ms *  0.801 ms
"
realtor.com,3," 3  ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  33.548 ms  33.550 ms  69.230 ms
"
realtor.com,4," 4  * * *
"
realtor.com,5," 5  ae-2-3212.msr1.Frankfurt1.Level3.net (4.69.163.126)  111.122 ms  111.129 ms  112.186 ms
"
realtor.com,6," 6  * * *
"
realtor.com,7," 7  * * *
"
realtor.com,8," 8  * * *
"
realtor.com,9," 9  * * *
"
realtor.com,10,"10  * * *
"
realtor.com,11,"11  206.131.184.1 (206.131.184.1)  173.814 ms  193.848 ms  194.745 ms
"
realtor.com,12,"12  featurehomeprice.com (206.131.180.21)  194.673 ms  193.842 ms  193.896 ms
"
