URL,TTL,Response_Message
secureserver.net,0,"traceroute to secureserver.net (208.109.192.71), 50 hops max, 60 byte packets
"
secureserver.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.341 ms  0.330 ms  0.316 ms
"
secureserver.net,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.685 ms  0.683 ms  0.677 ms
"
secureserver.net,3," 3  ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  30.914 ms ae1-5.RT.IRX.FKT.DE.retn.net (87.245.232.244)  29.791 ms ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  30.969 ms
"
secureserver.net,4," 4  * * *
"
secureserver.net,5," 5  * * *
"
secureserver.net,6," 6  4.28.83.74 (4.28.83.74)  166.998 ms  167.118 ms  167.105 ms
"
secureserver.net,7," 7  148.72.32.7 (148.72.32.7)  166.045 ms  166.489 ms 148.72.32.11 (148.72.32.11)  167.543 ms
"
secureserver.net,8," 8  ip-184-168-0-113.ip.secureserver.net (184.168.0.113)  165.486 ms ip-184-168-0-117.ip.secureserver.net (184.168.0.117)  167.860 ms ip-184-168-0-113.ip.secureserver.net (184.168.0.113)  167.107 ms
"
secureserver.net,9," 9  * * *
"
secureserver.net,10,"10  * * *
"
secureserver.net,11,"11  * * *
"
secureserver.net,12,"12  * * *
"
secureserver.net,13,"13  * * *
"
secureserver.net,14,"14  * * *
"
secureserver.net,15,"15  ip-208-109-192-71.ip.secureserver.net (208.109.192.71)  165.871 ms  167.537 ms  167.525 ms
"
secureserver.net,16,"16  ip-208-109-192-71.ip.secureserver.net (208.109.192.71)  167.014 ms  167.679 ms  166.347 ms
"
