URL,TTL,Response_Message
souq.com,0,"traceroute to souq.com (52.209.180.7), 50 hops max, 60 byte packets
"
souq.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  2.198 ms  2.204 ms  2.254 ms
"
souq.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.631 ms  0.623 ms  0.543 ms
"
souq.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.202 ms  28.620 ms  26.166 ms
"
souq.com,4," 4  amazon-fra-peering.fiord.net (62.140.243.53)  31.338 ms  31.322 ms amazon-fra-peering.fiord.net (62.140.243.51)  42.228 ms
"
souq.com,5," 5  54.239.106.118 (54.239.106.118)  26.921 ms 54.239.106.162 (54.239.106.162)  32.200 ms 54.239.106.164 (54.239.106.164)  29.532 ms
"
souq.com,6," 6  54.239.106.61 (54.239.106.61)  29.147 ms 54.239.106.89 (54.239.106.89)  29.120 ms 54.239.106.87 (54.239.106.87)  26.666 ms
"
souq.com,7," 7  * * *
"
souq.com,8," 8  52.93.132.86 (52.93.132.86)  49.920 ms  50.056 ms 150.222.240.140 (150.222.240.140)  49.777 ms
"
souq.com,9," 9  150.222.240.8 (150.222.240.8)  50.189 ms 52.93.135.164 (52.93.135.164)  50.225 ms 52.93.133.232 (52.93.133.232)  48.858 ms
"
souq.com,10,"10  176.32.106.237 (176.32.106.237)  51.406 ms * *
"
souq.com,11,"11  * * *
"
souq.com,12,"12  * * *
"
souq.com,13,"13  52.93.101.7 (52.93.101.7)  52.015 ms 52.93.101.19 (52.93.101.19)  49.166 ms 52.93.101.45 (52.93.101.45)  51.259 ms
"
souq.com,14,"14  150.222.240.48 (150.222.240.48)  51.280 ms 150.222.241.212 (150.222.241.212)  49.929 ms 52.93.101.18 (52.93.101.18)  53.673 ms
"
souq.com,15,"15  52.93.7.53 (52.93.7.53)  48.651 ms * *
"
souq.com,16,"16  52.93.6.132 (52.93.6.132)  58.589 ms 52.93.6.226 (52.93.6.226)  50.761 ms 52.93.6.168 (52.93.6.168)  51.274 ms
"
souq.com,17,"17  * 52.93.101.55 (52.93.101.55)  52.972 ms *
"
souq.com,18,"18  52.93.101.28 (52.93.101.28)  52.977 ms 52.93.101.44 (52.93.101.44)  50.527 ms 52.93.101.54 (52.93.101.54)  51.654 ms
"
souq.com,19,"19  52.93.7.49 (52.93.7.49)  49.632 ms * *
"
souq.com,20,"20  * * *
"
souq.com,21,"21  * * *
"
souq.com,22,"22  * * *
"
souq.com,23,"23  * * *
"
souq.com,24,"24  * * *
"
souq.com,25,"25  * ec2-52-209-180-7.eu-west-1.compute.amazonaws.com (52.209.180.7)  49.519 ms *
"
