URL,TTL,Response_Message
udn.com,0,"traceroute to udn.com (184.28.96.95), 30 hops max, 60 byte packets
"
udn.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.444 ms  0.435 ms  0.429 ms
"
udn.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  1.041 ms  0.927 ms  0.924 ms
"
udn.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.203 ms  17.221 ms  17.198 ms
"
udn.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.544 ms  22.550 ms  22.543 ms
"
udn.com,5," 5  be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.485 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.460 ms  30.470 ms
"
udn.com,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.379 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.728 ms  39.555 ms
"
udn.com,7," 7  be12266.ccr42.par01.atlas.cogentco.com (154.54.56.174)  117.331 ms be12265.ccr41.par01.atlas.cogentco.com (130.117.2.142)  116.660 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  115.124 ms
"
udn.com,8," 8  be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  115.785 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  115.025 ms  115.812 ms
"
udn.com,9," 9  be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  115.843 ms  117.413 ms be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  115.052 ms
"
udn.com,10,"10  att.jfk10.atlas.cogentco.com (154.54.10.98)  119.231 ms  121.435 ms  117.436 ms
"
udn.com,11,"11  cr1.n54ny.ip.att.net (12.122.131.102)  185.798 ms  187.902 ms att.jfk10.atlas.cogentco.com (154.54.10.98)  118.304 ms
"
udn.com,12,"12  cr1.n54ny.ip.att.net (12.122.131.102)  184.151 ms cgcil22crs.ip.att.net (12.122.2.237)  189.688 ms  188.793 ms
"
udn.com,13,"13  st6wa22crs.ip.att.net (12.122.2.118)  194.907 ms  185.424 ms  187.663 ms
"
udn.com,14,"14  12.122.85.221 (12.122.85.221)  185.364 ms  186.962 ms st6wa22crs.ip.att.net (12.122.2.118)  192.491 ms
"
udn.com,15,"15  12.246.35.50 (12.246.35.50)  200.107 ms  196.513 ms  196.433 ms
"
udn.com,16,"16  12.246.35.50 (12.246.35.50)  196.412 ms * *
"
udn.com,17,"17  a184-28-96-95.deploy.static.akamaitechnologies.com (184.28.96.95)  183.115 ms  182.157 ms *
"
