URL,TTL,Response_Message
videomega.tv,0,"traceroute to videomega.tv (103.224.182.251), 50 hops max, 60 byte packets
"
videomega.tv,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.319 ms  0.288 ms  0.310 ms
"
videomega.tv,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.889 ms  0.947 ms  0.999 ms
"
videomega.tv,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.143 ms  17.119 ms  17.159 ms
"
videomega.tv,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.148 ms  22.146 ms  22.215 ms
"
videomega.tv,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.744 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.751 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.793 ms
"
videomega.tv,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.735 ms  39.326 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.682 ms
"
videomega.tv,7," 7  be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  118.345 ms  116.555 ms  116.528 ms
"
videomega.tv,8," 8  be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  115.329 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  121.337 ms  121.579 ms
"
videomega.tv,9," 9  be3471.ccr41.jfk02.atlas.cogentco.com (154.54.40.154)  121.294 ms be2807.ccr42.dca01.atlas.cogentco.com (154.54.40.110)  121.534 ms be3471.ccr41.jfk02.atlas.cogentco.com (154.54.40.154)  117.768 ms
"
videomega.tv,10,"10  be2112.ccr41.atl01.atlas.cogentco.com (154.54.7.158)  134.569 ms  134.903 ms  133.896 ms
"
videomega.tv,11,"11  be2687.ccr41.iah01.atlas.cogentco.com (154.54.28.70)  150.404 ms be2690.ccr42.iah01.atlas.cogentco.com (154.54.28.130)  148.210 ms be2687.ccr41.iah01.atlas.cogentco.com (154.54.28.70)  147.878 ms
"
videomega.tv,12,"12  be2927.ccr21.elp01.atlas.cogentco.com (154.54.29.222)  165.350 ms be2928.ccr21.elp01.atlas.cogentco.com (154.54.30.162)  163.092 ms be2927.ccr21.elp01.atlas.cogentco.com (154.54.29.222)  163.891 ms
"
videomega.tv,13,"13  be2929.ccr31.phx01.atlas.cogentco.com (154.54.42.65)  170.513 ms  172.567 ms be2928.ccr21.elp01.atlas.cogentco.com (154.54.30.162)  161.556 ms
"
videomega.tv,14,"14  be2929.ccr31.phx01.atlas.cogentco.com (154.54.42.65)  169.499 ms be2941.rcr52.san01.atlas.cogentco.com (154.54.41.33)  181.618 ms  179.777 ms
"
videomega.tv,15,"15  be2940.rcr51.san01.atlas.cogentco.com (154.54.6.121)  179.800 ms  179.787 ms  179.920 ms
"
videomega.tv,16,"16  38.140.111.58 (38.140.111.58)  181.548 ms  181.518 ms  182.411 ms
"
videomega.tv,17,"17  sw03-san.trellian.com (103.224.213.253)  182.445 ms  181.121 ms 38.140.111.58 (38.140.111.58)  181.399 ms
"
videomega.tv,18,"18  lb-182-251.above.com (103.224.182.251)  181.691 ms  182.166 ms sw03-san.trellian.com (103.224.213.253)  179.988 ms
"
