URL,TTL,Response_Message
voc.com.cn,0,"traceroute to voc.com.cn (124.232.151.199), 50 hops max, 60 byte packets
"
voc.com.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.275 ms  0.299 ms  0.339 ms
"
voc.com.cn,2," 2  * v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.668 ms  0.652 ms
"
voc.com.cn,3," 3  100.64.65.25 (100.64.65.25)  7.834 ms  8.251 ms  7.831 ms
"
voc.com.cn,4," 4  100.64.64.141 (100.64.64.141)  30.395 ms  29.986 ms  30.356 ms
"
voc.com.cn,5," 5  81.173.22.17 (81.173.22.17)  34.666 ms  30.645 ms  34.650 ms
"
voc.com.cn,6," 6  202.97.67.237 (202.97.67.237)  231.459 ms  230.532 ms  231.019 ms
"
voc.com.cn,7," 7  202.97.12.10 (202.97.12.10)  233.278 ms * 202.97.91.138 (202.97.91.138)  240.898 ms
"
voc.com.cn,8," 8  202.97.66.169 (202.97.66.169)  228.044 ms 202.97.94.133 (202.97.94.133)  253.520 ms  253.505 ms
"
voc.com.cn,9," 9  202.97.42.162 (202.97.42.162)  254.563 ms * *
"
voc.com.cn,10,"10  61.137.9.158 (61.137.9.158)  268.186 ms 61.137.8.30 (61.137.8.30)  244.721 ms *
"
voc.com.cn,11,"11  * 124.232.134.1 (124.232.134.1)  258.427 ms 124.232.134.5 (124.232.134.5)  268.842 ms
"
voc.com.cn,12,"12  124.232.151.199 (124.232.151.199)  267.629 ms * *
"
voc.com.cn,13,"13  124.232.151.199 (124.232.151.199)  250.247 ms  254.218 ms  263.219 ms
"
