URL,TTL,Response_Message
xcar.com.cn,0,"traceroute to xcar.com.cn (192.144.194.149), 50 hops max, 60 byte packets
"
xcar.com.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.268 ms  0.292 ms  0.358 ms
"
xcar.com.cn,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.550 ms  0.544 ms  0.579 ms
"
xcar.com.cn,3," 3  100.64.65.25 (100.64.65.25)  8.219 ms  8.199 ms  7.842 ms
"
xcar.com.cn,4," 4  100.64.64.141 (100.64.64.141)  52.739 ms  30.417 ms  52.732 ms
"
xcar.com.cn,5," 5  81.173.22.17 (81.173.22.17)  32.275 ms  32.310 ms  32.303 ms
"
xcar.com.cn,6," 6  202.97.52.73 (202.97.52.73)  240.327 ms  239.889 ms  239.641 ms
"
xcar.com.cn,7," 7  202.97.12.53 (202.97.12.53)  239.648 ms  239.640 ms  239.628 ms
"
xcar.com.cn,8," 8  * * *
"
xcar.com.cn,9," 9  36.110.244.18 (36.110.244.18)  174.411 ms * *
"
xcar.com.cn,10,"10  * * *
"
xcar.com.cn,11,"11  36.110.203.242 (36.110.203.242)  250.526 ms 36.110.203.234 (36.110.203.234)  275.764 ms 36.110.203.238 (36.110.203.238)  205.925 ms
"
xcar.com.cn,12,"12  * * 192.144.194.149 (192.144.194.149)  195.823 ms
"
