URL,TTL,Response_Message
about.com,0,"traceroute to about.com (151.101.194.114), 50 hops max, 60 byte packets
"
about.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.375 ms  0.381 ms  0.423 ms
"
about.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.539 ms  0.625 ms  0.522 ms
"
about.com,3," 3  msk-m9-b1-ae16-vlan3877.fiord.net (80.77.167.16)  16.093 ms  16.062 ms  16.126 ms
"
about.com,4," 4  msk-zoo-b2-ae1-vlan545.fiord.net (62.140.245.49)  16.120 ms  16.105 ms  16.128 ms
"
about.com,5," 5  mow-b3-link.telia.net (213.248.77.226)  42.874 ms  64.040 ms  64.071 ms
"
about.com,6," 6  mow-b4-link.telia.net (80.91.246.90)  43.811 ms  43.949 ms  43.978 ms
"
about.com,7," 7  sap-b4-link.telia.net (62.115.116.7)  41.182 ms  41.265 ms  41.187 ms
"
about.com,8," 8  hls-b2-link.telia.net (62.115.115.250)  44.083 ms  43.975 ms  43.959 ms
"
about.com,9," 9  fastly-ic-336129-hls-b2.c.telia.net (213.248.78.185)  42.515 ms fastly-ic-336130-hls-b2.c.telia.net (213.248.78.187)  42.721 ms  42.783 ms
"
about.com,10,"10  151.101.194.114 (151.101.194.114)  42.655 ms  42.829 ms  46.332 ms
"
