URL,TTL,Response_Message
adplxmd.com,0,"traceroute to adplxmd.com (103.224.182.251), 30 hops max, 60 byte packets
"
adplxmd.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.596 ms  0.612 ms  0.593 ms
"
adplxmd.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.887 ms  0.925 ms  0.991 ms
"
adplxmd.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.059 ms  17.360 ms  17.432 ms
"
adplxmd.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.854 ms  22.854 ms  22.882 ms
"
adplxmd.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.843 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.537 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.759 ms
"
adplxmd.com,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.517 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.744 ms  39.738 ms
"
adplxmd.com,7," 7  be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  116.564 ms  116.966 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  115.045 ms
"
adplxmd.com,8," 8  be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  115.473 ms  115.512 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  115.710 ms
"
adplxmd.com,9," 9  be3472.ccr42.jfk02.atlas.cogentco.com (154.54.46.34)  115.692 ms be2807.ccr42.dca01.atlas.cogentco.com (154.54.40.110)  120.500 ms be2806.ccr41.dca01.atlas.cogentco.com (154.54.40.106)  121.548 ms
"
adplxmd.com,10,"10  be2112.ccr41.atl01.atlas.cogentco.com (154.54.7.158)  134.953 ms be2807.ccr42.dca01.atlas.cogentco.com (154.54.40.110)  120.595 ms be2113.ccr42.atl01.atlas.cogentco.com (154.54.24.222)  132.336 ms
"
adplxmd.com,11,"11  be2112.ccr41.atl01.atlas.cogentco.com (154.54.7.158)  133.399 ms be2690.ccr42.iah01.atlas.cogentco.com (154.54.28.130)  151.233 ms be2112.ccr41.atl01.atlas.cogentco.com (154.54.7.158)  133.658 ms
"
adplxmd.com,12,"12  be2928.ccr21.elp01.atlas.cogentco.com (154.54.30.162)  164.275 ms be2690.ccr42.iah01.atlas.cogentco.com (154.54.28.130)  148.071 ms be2927.ccr21.elp01.atlas.cogentco.com (154.54.29.222)  163.961 ms
"
adplxmd.com,13,"13  be2930.ccr32.phx01.atlas.cogentco.com (154.54.42.77)  173.688 ms be2929.ccr31.phx01.atlas.cogentco.com (154.54.42.65)  170.749 ms be2930.ccr32.phx01.atlas.cogentco.com (154.54.42.77)  172.817 ms
"
adplxmd.com,14,"14  be2940.rcr51.san01.atlas.cogentco.com (154.54.6.121)  179.805 ms  179.827 ms be2941.rcr52.san01.atlas.cogentco.com (154.54.41.33)  182.082 ms
"
adplxmd.com,15,"15  te0-0-2-0.nr11.b022887-0.san01.atlas.cogentco.com (154.24.7.226)  180.841 ms  181.660 ms be2941.rcr52.san01.atlas.cogentco.com (154.54.41.33)  179.594 ms
"
adplxmd.com,16,"16  38.140.111.58 (38.140.111.58)  188.345 ms  184.665 ms  187.741 ms
"
adplxmd.com,17,"17  38.140.111.58 (38.140.111.58)  181.260 ms sw03-san.trellian.com (103.224.213.253)  182.529 ms  180.094 ms
"
adplxmd.com,18,"18  lb-182-251.above.com (103.224.182.251)  180.957 ms sw03-san.trellian.com (103.224.213.253)  179.957 ms lb-182-251.above.com (103.224.182.251)  180.122 ms
"
