URL,TTL,Response_Message
ameba.jp,0,"traceroute to ameba.jp (27.133.212.123), 50 hops max, 60 byte packets
"
ameba.jp,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.318 ms  0.301 ms  0.294 ms
"
ameba.jp,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  1.314 ms  1.307 ms  2.548 ms
"
ameba.jp,3," 3  ae1-9.RT.TC2.LON.UK.retn.net (87.245.233.98)  40.071 ms  40.072 ms  40.062 ms
"
ameba.jp,4," 4  ldn001bb10.iij.net (195.66.225.237)  40.310 ms  40.262 ms  40.285 ms
"
ameba.jp,5," 5  tky001bb10.IIJ.Net (58.138.98.137)  234.694 ms tky001bb11.IIJ.Net (58.138.89.229)  203.566 ms  203.581 ms
"
ameba.jp,6," 6  tky001ip57.IIJ.Net (58.138.100.22)  203.766 ms tky001ip57.IIJ.Net (58.138.102.102)  200.255 ms tky001ip57.IIJ.Net (58.138.100.18)  202.738 ms
"
ameba.jp,7," 7  202.232.9.126 (202.232.9.126)  251.277 ms  247.905 ms  251.214 ms
"
ameba.jp,8," 8  * * *
"
ameba.jp,9," 9  * * *
"
ameba.jp,10,"10  27.133.212.123 (27.133.212.123)  262.339 ms  262.142 ms  258.690 ms
"
ameba.jp,11,"11  * * *
"
ameba.jp,12,"12  27.133.212.123 (27.133.212.123)  252.309 ms  253.140 ms  256.663 ms
"
