URL,TTL,Response_Message
answers.com,0,"traceroute to answers.com (151.101.0.203), 30 hops max, 60 byte packets
"
answers.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.325 ms  0.317 ms  0.319 ms
"
answers.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.565 ms  0.604 ms  0.548 ms
"
answers.com,3," 3  msk-m9-b1-ae16-vlan3877.fiord.net (80.77.167.16)  16.207 ms  16.260 ms  16.201 ms
"
answers.com,4," 4  msk-zoo-b2-ae1-vlan545.fiord.net (62.140.245.49)  16.194 ms  16.227 ms  16.176 ms
"
answers.com,5," 5  mow-b3-link.telia.net (213.248.77.226)  42.875 ms  47.275 ms  47.261 ms
"
answers.com,6," 6  mow-b4-link.telia.net (80.91.246.90)  44.081 ms  44.887 ms  43.976 ms
"
answers.com,7," 7  sap-b4-link.telia.net (62.115.116.7)  41.022 ms  41.220 ms  41.209 ms
"
answers.com,8," 8  hls-b2-link.telia.net (62.115.115.250)  44.029 ms  44.365 ms  44.330 ms
"
answers.com,9," 9  fastly-ic-336130-hls-b2.c.telia.net (213.248.78.187)  46.836 ms  46.855 ms fastly-ic-336129-hls-b2.c.telia.net (213.248.78.185)  46.393 ms
"
answers.com,10,"10  151.101.0.203 (151.101.0.203)  46.379 ms  46.408 ms  42.896 ms
"
