URL,TTL,Response_Message
atlassian.net,0,"traceroute to atlassian.net (18.184.99.129), 30 hops max, 60 byte packets
"
atlassian.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.270 ms  0.292 ms  0.350 ms
"
atlassian.net,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  1.607 ms  1.603 ms  0.644 ms
"
atlassian.net,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  27.720 ms  27.728 ms  28.638 ms
"
atlassian.net,4," 4  amazon-fra-peering.fiord.net (62.140.243.51)  31.327 ms  31.360 ms  31.312 ms
"
atlassian.net,5," 5  * 54.239.106.8 (54.239.106.8)  34.919 ms 54.239.106.74 (54.239.106.74)  31.520 ms
"
atlassian.net,6," 6  52.93.111.222 (52.93.111.222)  28.457 ms 52.93.111.204 (52.93.111.204)  28.314 ms 52.93.111.254 (52.93.111.254)  31.716 ms
"
atlassian.net,7," 7  52.93.111.237 (52.93.111.237)  31.687 ms 52.93.111.245 (52.93.111.245)  30.079 ms 52.93.111.215 (52.93.111.215)  30.086 ms
"
atlassian.net,8," 8  54.239.106.73 (54.239.106.73)  30.439 ms 54.239.106.161 (54.239.106.161)  30.195 ms 54.239.106.51 (54.239.106.51)  26.867 ms
"
atlassian.net,9," 9  150.222.104.42 (150.222.104.42)  37.848 ms 150.222.104.44 (150.222.104.44)  29.853 ms 54.239.4.216 (54.239.4.216)  27.210 ms
"
atlassian.net,10,"10  * * *
"
atlassian.net,11,"11  * * *
"
atlassian.net,12,"12  * * *
"
atlassian.net,13,"13  * * *
"
atlassian.net,14,"14  ec2-18-184-99-129.eu-central-1.compute.amazonaws.com (18.184.99.129)  32.140 ms  27.445 ms *
"
