URL,TTL,Response_Message
blkget.com,0,"traceroute to blkget.com (96.45.83.113), 50 hops max, 60 byte packets
"
blkget.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.320 ms  0.295 ms  0.323 ms
"
blkget.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.664 ms  0.659 ms  0.728 ms
"
blkget.com,3," 3  ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  30.928 ms  30.911 ms ae1-5.RT.IRX.FKT.DE.retn.net (87.245.232.244)  29.687 ms
"
blkget.com,4," 4  ix-ae-6-0.tcore2.fr0-frankfurt.as6453.net (80.231.65.1)  30.966 ms  32.151 ms  32.190 ms
"
blkget.com,5," 5  if-ae-9-2.tcore1.fnm-frankfurt.as6453.net (5.23.30.16)  120.040 ms  118.930 ms  118.897 ms
"
blkget.com,6," 6  if-ae-12-80.tcore2.fnm-frankfurt.as6453.net (195.219.156.134)  120.858 ms  119.725 ms  119.715 ms
"
blkget.com,7," 7  if-ae-30-2.tcore1.pvu-paris.as6453.net (80.231.153.89)  124.026 ms  124.306 ms if-ae-9-2.tcore1.pvu-paris.as6453.net (195.219.87.10)  119.715 ms
"
blkget.com,8," 8  if-ae-11-2.tcore1.pye-paris.as6453.net (80.231.153.50)  122.448 ms if-ae-14-2.tcore2.l78-london.as6453.net (80.231.131.160)  115.516 ms if-ae-11-2.tcore1.pye-paris.as6453.net (80.231.153.50)  122.779 ms
"
blkget.com,9," 9  if-ae-3-2.tcore1.l78-london.as6453.net (80.231.154.143)  123.102 ms if-ae-2-2.tcore1.l78-london.as6453.net (80.231.131.2)  121.808 ms if-ae-3-2.tcore1.l78-london.as6453.net (80.231.154.143)  121.549 ms
"
blkget.com,10,"10  if-ae-15-2.tcore3.njy-newark.as6453.net (80.231.130.26)  120.769 ms  119.411 ms  119.456 ms
"
blkget.com,11,"11  if-ae-1-3.tcore4.njy-newark.as6453.net (216.6.57.6)  118.629 ms  116.956 ms  115.323 ms
"
blkget.com,12,"12  if-ae-12-2.tcore2.aeq-ashburn.as6453.net (216.6.87.42)  122.065 ms  121.082 ms  121.433 ms
"
blkget.com,13,"13  if-ae-2-2.tcore1.aeq-ashburn.as6453.net (216.6.87.2)  119.680 ms  116.489 ms  119.676 ms
"
blkget.com,14,"14  66.198.155.129 (66.198.155.129)  124.602 ms  123.467 ms  121.665 ms
"
blkget.com,15,"15  redirection.dnsmadeeasy.com (96.45.83.113)  124.741 ms  121.583 ms  119.631 ms
"
