URL,TTL,Response_Message
bloomberg.com,0,"traceroute to bloomberg.com (69.191.252.15), 30 hops max, 60 byte packets
"
bloomberg.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  1.324 ms  1.304 ms  1.288 ms
"
bloomberg.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  1.275 ms  2.087 ms  2.133 ms
"
bloomberg.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  18.516 ms  18.221 ms  18.259 ms
"
bloomberg.com,4," 4  be3463.ccr52.vie01.atlas.cogentco.com (154.54.59.185)  19.822 ms  19.765 ms  19.810 ms
"
bloomberg.com,5," 5  be3462.ccr22.muc03.atlas.cogentco.com (154.54.59.182)  25.734 ms  25.674 ms  25.714 ms
"
bloomberg.com,6," 6  be2960.ccr42.fra03.atlas.cogentco.com (154.54.36.253)  30.980 ms  29.890 ms  29.834 ms
"
bloomberg.com,7," 7  be3187.agr41.fra03.atlas.cogentco.com (130.117.1.117)  29.812 ms  30.055 ms  29.928 ms
"
bloomberg.com,8," 8  ae16.mpr1.fra4.de.zip.zayo.com (64.125.12.53)  29.685 ms  29.706 ms  29.680 ms
"
bloomberg.com,9," 9  ae27.cs1.fra9.de.eth.zayo.com (64.125.30.254)  113.080 ms  113.067 ms  113.066 ms
"
bloomberg.com,10,"10  ae0.cs1.fra6.de.eth.zayo.com (64.125.29.54)  113.334 ms  113.138 ms  113.120 ms
"
bloomberg.com,11,"11  ae2.cs1.ams17.nl.eth.zayo.com (64.125.29.59)  114.464 ms  114.570 ms  114.457 ms
"
bloomberg.com,12,"12  ae0.cs1.ams10.nl.eth.zayo.com (64.125.29.80)  118.065 ms  118.050 ms  112.135 ms
"
bloomberg.com,13,"13  ae2.cs1.lhr15.uk.eth.zayo.com (64.125.29.17)  114.890 ms  114.887 ms  113.166 ms
"
bloomberg.com,14,"14  * * *
"
bloomberg.com,15,"15  ae5.cs3.lga5.us.eth.zayo.com (64.125.29.126)  112.162 ms  112.159 ms  112.243 ms
"
bloomberg.com,16,"16  ae6.mpr3.phl2.us.zip.zayo.com (64.125.30.59)  114.418 ms  114.411 ms  114.359 ms
"
bloomberg.com,17,"17  208.184.124.82.IPYX-071383-ZYO.above.net (208.184.124.82)  114.502 ms  114.493 ms  114.529 ms
"
bloomberg.com,18,"18  69.191.240.33 (69.191.240.33)  117.075 ms  117.211 ms  117.067 ms
"
bloomberg.com,19,"19  69.191.252.15 (69.191.252.15)  115.910 ms  115.855 ms  117.346 ms
"
