URL,TTL,Response_Message
brilio.net,0,"traceroute to brilio.net (104.199.214.191), 30 hops max, 60 byte packets
"
brilio.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.312 ms  0.302 ms  0.332 ms
"
brilio.net,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.560 ms  0.556 ms  0.551 ms
"
brilio.net,3," 3  100.64.64.58 (100.64.64.58)  0.683 ms  0.671 ms  0.665 ms
"
brilio.net,4," 4  google-gw1.kv.wnet.ua (128.0.168.137)  1.063 ms  1.048 ms  1.039 ms
"
brilio.net,5," 5  108.170.248.146 (108.170.248.146)  1.946 ms  7.827 ms 108.170.248.130 (108.170.248.130)  0.865 ms
"
brilio.net,6," 6  216.239.46.121 (216.239.46.121)  14.292 ms 209.85.248.105 (209.85.248.105)  14.995 ms  15.775 ms
"
brilio.net,7," 7  209.85.241.99 (209.85.241.99)  28.966 ms 216.239.58.4 (216.239.58.4)  56.216 ms  56.212 ms
"
brilio.net,8," 8  108.170.236.120 (108.170.236.120)  35.682 ms  34.244 ms 209.85.244.158 (209.85.244.158)  34.448 ms
"
brilio.net,9," 9  108.170.237.243 (108.170.237.243)  39.755 ms 108.170.234.119 (108.170.234.119)  40.414 ms 209.85.245.231 (209.85.245.231)  41.497 ms
"
brilio.net,10,"10  172.253.65.164 (172.253.65.164)  107.151 ms 172.253.65.174 (172.253.65.174)  107.368 ms 172.253.65.176 (172.253.65.176)  108.316 ms
"
brilio.net,11,"11  216.239.57.196 (216.239.57.196)  123.783 ms 216.239.58.254 (216.239.58.254)  123.937 ms 216.239.57.136 (216.239.57.136)  125.093 ms
"
brilio.net,12,"12  209.85.247.5 (209.85.247.5)  132.820 ms 72.14.232.70 (72.14.232.70)  277.090 ms 216.239.57.136 (216.239.57.136)  124.072 ms
"
brilio.net,13,"13  209.85.255.195 (209.85.255.195)  168.295 ms * 209.85.241.247 (209.85.241.247)  167.656 ms
"
brilio.net,14,"14  108.170.234.21 (108.170.234.21)  285.434 ms 209.85.249.41 (209.85.249.41)  284.946 ms 108.170.234.21 (108.170.234.21)  286.306 ms
"
brilio.net,15,"15  72.14.237.69 (72.14.237.69)  285.436 ms 72.14.237.7 (72.14.237.7)  285.404 ms 209.85.245.48 (209.85.245.48)  282.540 ms
"
brilio.net,16,"16  72.14.237.7 (72.14.237.7)  284.972 ms 209.85.244.29 (209.85.244.29)  285.358 ms 216.239.42.249 (216.239.42.249)  285.357 ms
"
brilio.net,17,"17  * * *
"
brilio.net,18,"18  * * *
"
brilio.net,19,"19  * * *
"
brilio.net,20,"20  * * *
"
brilio.net,21,"21  * * *
"
brilio.net,22,"22  * * *
"
brilio.net,23,"23  * * *
"
brilio.net,24,"24  * * *
"
brilio.net,25,"25  * * *
"
brilio.net,26,"26  191.214.199.104.bc.googleusercontent.com (104.199.214.191)  284.605 ms  285.943 ms *
"
