URL,TTL,Response_Message
clickadu.com,0,"traceroute to clickadu.com (194.187.97.215), 30 hops max, 60 byte packets
"
clickadu.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.333 ms  0.320 ms  0.333 ms
"
clickadu.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  1.160 ms  1.244 ms  1.170 ms
"
clickadu.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.236 ms  17.257 ms  17.300 ms
"
clickadu.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.227 ms  22.267 ms  22.229 ms
"
clickadu.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.402 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.773 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.389 ms
"
clickadu.com,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.660 ms  39.796 ms  39.733 ms
"
clickadu.com,7," 7  be3434.rcr21.ams06.atlas.cogentco.com (154.54.59.50)  39.907 ms  40.170 ms be3433.rcr21.ams06.atlas.cogentco.com (154.54.58.202)  39.841 ms
"
clickadu.com,8," 8  149.6.1.230 (149.6.1.230)  44.638 ms 149.14.92.26 (149.14.92.26)  39.894 ms universal-cdn.demarc.cogentco.com (149.6.1.30)  39.846 ms
"
clickadu.com,9," 9  v-6-08-35-d4583-215.webazilla.com (194.187.97.215)  39.927 ms  39.776 ms  39.832 ms
"
