URL,TTL,Response_Message
costco.com,0,"traceroute to costco.com (170.167.117.81), 30 hops max, 60 byte packets
"
costco.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  2.659 ms  2.645 ms  2.646 ms
"
costco.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.594 ms  0.574 ms  0.502 ms
"
costco.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.670 ms  26.617 ms  28.594 ms
"
costco.com,4," 4  * * *
"
costco.com,5," 5  ae8.mpr1.fra3.de.zip.zayo.com (64.125.26.233)  28.494 ms  28.523 ms  31.162 ms
"
costco.com,6," 6  ae27.cs1.fra6.de.eth.zayo.com (64.125.31.216)  178.802 ms  178.961 ms  176.321 ms
"
costco.com,7," 7  ae2.cs1.ams17.nl.eth.zayo.com (64.125.29.59)  176.321 ms  186.274 ms  186.256 ms
"
costco.com,8," 8  ae0.cs1.ams10.nl.eth.zayo.com (64.125.29.80)  179.803 ms  176.796 ms  176.371 ms
"
costco.com,9," 9  ae2.cs1.lhr15.uk.eth.zayo.com (64.125.29.17)  178.799 ms  178.959 ms  178.890 ms
"
costco.com,10,"10  * * *
"
costco.com,11,"11  ae5.cs3.lga5.us.eth.zayo.com (64.125.29.126)  220.581 ms  220.213 ms  201.832 ms
"
costco.com,12,"12  * * *
"
costco.com,13,"13  ae2.cs1.sea1.us.eth.zayo.com (64.125.29.26)  180.342 ms  181.989 ms  182.040 ms
"
costco.com,14,"14  ae27.mpr1.sea1.us.zip.zayo.com (64.125.29.1)  179.267 ms  176.578 ms  178.692 ms
"
costco.com,15,"15  209.66.92.98.IPYX-149781-ZYO.zip.zayo.com (209.66.92.98)  180.539 ms  183.786 ms  183.786 ms
"
costco.com,16,"16  costcodrugstore.com (170.167.117.81)  183.936 ms  181.438 ms  183.888 ms
"
