URL,TTL,Response_Message
discovercard.com,0,"traceroute to discovercard.com (184.29.235.23), 30 hops max, 60 byte packets
"
discovercard.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  4.433 ms  4.407 ms  4.397 ms
"
discovercard.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.831 ms  0.816 ms  0.807 ms
"
discovercard.com,3," 3  ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  32.235 ms  31.131 ms ae4-2.RT.EQX.FKT.DE.retn.net (87.245.233.164)  30.110 ms
"
discovercard.com,4," 4  AMS-AM2-POP-CRS-1.du.ae (80.81.194.198)  39.008 ms  38.974 ms  38.981 ms
"
discovercard.com,5," 5  10.229.200.201 (10.229.200.201)  161.567 ms  161.570 ms  161.553 ms
"
discovercard.com,6," 6  10.142.57.41 (10.142.57.41)  165.134 ms  164.478 ms  165.362 ms
"
discovercard.com,7," 7  10.100.128.13 (10.100.128.13)  169.203 ms  169.650 ms 10.100.129.13 (10.100.129.13)  165.954 ms
"
discovercard.com,8," 8  10.44.230.62 (10.44.230.62)  166.552 ms 10.44.230.25 (10.44.230.25)  178.555 ms 10.44.230.70 (10.44.230.70)  177.536 ms
"
discovercard.com,9," 9  a184-29-235-23.deploy.static.akamaitechnologies.com (184.29.235.23)  164.915 ms  170.038 ms  160.719 ms
"
