URL,TTL,Response_Message
engadget.com,0,"traceroute to engadget.com (124.108.115.87), 50 hops max, 60 byte packets
"
engadget.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.380 ms  0.387 ms  0.377 ms
"
engadget.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  1.021 ms  0.970 ms  1.062 ms
"
engadget.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  16.971 ms  16.975 ms  17.005 ms
"
engadget.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.210 ms  22.267 ms  22.255 ms
"
engadget.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.478 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.754 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.532 ms
"
engadget.com,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.498 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.355 ms  39.746 ms
"
engadget.com,7," 7  be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  135.429 ms  135.664 ms be2183.ccr22.lpl01.atlas.cogentco.com (154.54.58.69)  140.818 ms
"
engadget.com,8," 8  be3042.ccr21.ymq01.atlas.cogentco.com (154.54.44.162)  139.383 ms be3043.ccr22.ymq01.atlas.cogentco.com (154.54.44.166)  141.051 ms be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  135.303 ms
"
engadget.com,9," 9  be3260.ccr32.yyz02.atlas.cogentco.com (154.54.42.89)  139.406 ms  139.490 ms  139.449 ms
"
engadget.com,10,"10  be2879.ccr22.cle04.atlas.cogentco.com (154.54.29.173)  135.673 ms be2994.ccr22.cle04.atlas.cogentco.com (154.54.31.233)  140.142 ms be2879.ccr22.cle04.atlas.cogentco.com (154.54.29.173)  135.483 ms
"
engadget.com,11,"11  be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  140.035 ms  140.341 ms be2832.ccr22.mci01.atlas.cogentco.com (154.54.44.169)  149.377 ms
"
