URL,TTL,Response_Message
expedia.com,0,"traceroute to expedia.com (52.26.234.148), 30 hops max, 60 byte packets
"
expedia.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.358 ms  0.339 ms  0.368 ms
"
expedia.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.955 ms  1.117 ms  1.096 ms
"
expedia.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.055 ms  17.614 ms  17.521 ms
"
expedia.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.315 ms  22.172 ms  22.255 ms
"
expedia.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.368 ms  30.371 ms  30.606 ms
"
expedia.com,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.457 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.401 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.332 ms
"
expedia.com,7," 7  be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  186.868 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  135.675 ms  135.603 ms
"
expedia.com,8," 8  be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  190.973 ms be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  135.659 ms  135.737 ms
"
expedia.com,9," 9  be3600.ccr22.alb02.atlas.cogentco.com (154.54.0.221)  185.554 ms be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  135.630 ms  135.541 ms
"
expedia.com,10,"10  be2879.ccr22.cle04.atlas.cogentco.com (154.54.29.173)  186.373 ms  186.282 ms  185.850 ms
"
expedia.com,11,"11  be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  140.339 ms  136.002 ms  140.633 ms
"
expedia.com,12,"12  be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  190.248 ms be2832.ccr22.mci01.atlas.cogentco.com (154.54.44.169)  185.624 ms  186.082 ms
"
expedia.com,13,"13  be2831.ccr21.mci01.atlas.cogentco.com (154.54.42.165)  191.471 ms be3036.ccr22.den01.atlas.cogentco.com (154.54.31.89)  186.028 ms  187.475 ms
"
expedia.com,14,"14  be3037.ccr21.slc01.atlas.cogentco.com (154.54.41.145)  171.051 ms be3038.ccr32.slc01.atlas.cogentco.com (154.54.42.97)  186.607 ms  186.531 ms
"
expedia.com,15,"15  be3110.ccr22.sfo01.atlas.cogentco.com (154.54.44.141)  185.385 ms  185.904 ms be3109.ccr21.sfo01.atlas.cogentco.com (154.54.44.137)  184.246 ms
"
expedia.com,16,"16  be3669.ccr41.sjc03.atlas.cogentco.com (154.54.43.10)  185.444 ms be3109.ccr21.sfo01.atlas.cogentco.com (154.54.44.137)  190.783 ms be3669.ccr41.sjc03.atlas.cogentco.com (154.54.43.10)  190.381 ms
"
expedia.com,17,"17  38.88.224.186 (38.88.224.186)  176.291 ms 38.88.224.218 (38.88.224.218)  187.187 ms 38.88.224.186 (38.88.224.186)  176.380 ms
"
expedia.com,18,"18  52.93.70.198 (52.93.70.198)  176.847 ms 38.88.224.186 (38.88.224.186)  181.452 ms 52.93.70.204 (52.93.70.204)  180.370 ms
"
expedia.com,19,"19  54.240.242.141 (54.240.242.141)  175.825 ms 54.240.242.79 (54.240.242.79)  175.135 ms 52.93.70.176 (52.93.70.176)  182.337 ms
"
expedia.com,20,"20  * * *
"
expedia.com,21,"21  * 52.93.130.2 (52.93.130.2)  196.978 ms 52.93.130.4 (52.93.130.4)  194.876 ms
"
expedia.com,22,"22  52.93.130.2 (52.93.130.2)  200.949 ms 54.239.46.100 (54.239.46.100)  195.088 ms 52.93.130.4 (52.93.130.4)  200.217 ms
"
expedia.com,23,"23  * 52.93.12.46 (52.93.12.46)  196.871 ms 52.93.12.116 (52.93.12.116)  195.293 ms
"
expedia.com,24,"24  52.93.12.78 (52.93.12.78)  203.284 ms 52.93.13.29 (52.93.13.29)  194.974 ms 52.93.13.46 (52.93.13.46)  199.524 ms
"
expedia.com,25,"25  52.93.12.254 (52.93.12.254)  199.474 ms 52.93.13.31 (52.93.13.31)  199.317 ms 52.93.12.32 (52.93.12.32)  202.437 ms
"
expedia.com,26,"26  52.93.246.97 (52.93.246.97)  194.998 ms 52.93.246.101 (52.93.246.101)  194.942 ms  194.977 ms
"
expedia.com,27,"27  52.93.246.97 (52.93.246.97)  194.628 ms 52.93.240.43 (52.93.240.43)  200.705 ms 52.93.13.65 (52.93.13.65)  197.992 ms
"
expedia.com,28,"28  * * 52.93.240.37 (52.93.240.37)  198.828 ms
"
expedia.com,29,"29  * * *
"
expedia.com,30,"30  * 52.93.246.13 (52.93.246.13)  195.666 ms *
"
