URL,TTL,Response_Message
gizmodo.com,0,"traceroute to gizmodo.com (151.101.194.166), 30 hops max, 60 byte packets
"
gizmodo.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  1.468 ms  1.454 ms  1.445 ms
"
gizmodo.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.695 ms  0.682 ms  0.494 ms
"
gizmodo.com,3," 3  msk-m9-b1-ae16-vlan3877.fiord.net (80.77.167.16)  18.031 ms  17.961 ms  17.957 ms
"
gizmodo.com,4," 4  msk-zoo-b2-ae1-vlan545.fiord.net (62.140.245.49)  16.234 ms  16.222 ms  16.135 ms
"
gizmodo.com,5," 5  mow-b3-link.telia.net (213.248.77.226)  42.905 ms  42.884 ms  42.885 ms
"
gizmodo.com,6," 6  mow-b4-link.telia.net (80.91.246.90)  79.780 ms  75.246 ms  75.113 ms
"
gizmodo.com,7," 7  sap-b4-link.telia.net (62.115.116.7)  41.429 ms  41.407 ms  41.562 ms
"
gizmodo.com,8," 8  hls-b2-link.telia.net (62.115.115.250)  44.047 ms  44.144 ms  44.040 ms
"
gizmodo.com,9," 9  fastly-ic-336129-hls-b2.c.telia.net (213.248.78.185)  46.392 ms  46.393 ms  46.360 ms
"
gizmodo.com,10,"10  151.101.194.166 (151.101.194.166)  46.490 ms  46.261 ms  43.023 ms
"
