URL,TTL,Response_Message
goo.ne.jp,0,"traceroute to goo.ne.jp (153.254.147.65), 50 hops max, 60 byte packets
"
goo.ne.jp,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  4.899 ms  4.877 ms  4.889 ms
"
goo.ne.jp,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.786 ms  0.991 ms  1.014 ms
"
goo.ne.jp,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.032 ms  17.046 ms  17.042 ms
"
goo.ne.jp,4," 4  be3463.ccr52.vie01.atlas.cogentco.com (154.54.59.185)  18.190 ms  18.182 ms  18.165 ms
"
goo.ne.jp,5," 5  ae-14.r01.vienat01.at.bb.gin.ntt.net (129.250.9.129)  18.482 ms  18.599 ms  18.680 ms
"
goo.ne.jp,6," 6  ae-1.r00.vienat01.at.bb.gin.ntt.net (129.250.2.36)  284.351 ms  284.701 ms  284.493 ms
"
goo.ne.jp,7," 7  ae-10.r25.frnkge08.de.bb.gin.ntt.net (129.250.4.145)  29.856 ms  30.034 ms  30.108 ms
"
goo.ne.jp,8," 8  ae-8.r22.asbnva02.us.bb.gin.ntt.net (129.250.4.96)  118.486 ms  118.003 ms  118.357 ms
"
goo.ne.jp,9," 9  ae-5.r23.lsanca07.us.bb.gin.ntt.net (129.250.3.189)  179.314 ms  181.743 ms  187.718 ms
"
goo.ne.jp,10,"10  ae-12.r31.tokyjp05.jp.bb.gin.ntt.net (129.250.3.192)  282.616 ms  289.873 ms  288.947 ms
"
goo.ne.jp,11,"11  ae-3.r02.tokyjp05.jp.bb.gin.ntt.net (129.250.3.28)  283.841 ms ae-3.r03.tokyjp05.jp.bb.gin.ntt.net (129.250.3.56)  284.016 ms ae-3.r02.tokyjp05.jp.bb.gin.ntt.net (129.250.3.28)  282.161 ms
"
goo.ne.jp,12,"12  ae-0.a00.tokyjp05.jp.bb.gin.ntt.net (129.250.4.6)  280.298 ms ae-1.a00.tokyjp05.jp.bb.gin.ntt.net (129.250.4.26)  291.066 ms  298.337 ms
"
goo.ne.jp,13,"13  xe-0-0-22-2.a00.tokyjp05.jp.ce.gin.ntt.net (61.213.145.182)  284.574 ms  292.799 ms  290.597 ms
"
goo.ne.jp,14,"14  153.254.146.253 (153.254.146.253)  284.542 ms  284.213 ms  293.609 ms
"
goo.ne.jp,15,"15  www.goo.ne.jp (153.254.147.65)  288.198 ms  290.714 ms  291.461 ms
"
goo.ne.jp,16,"16  * * *
"
goo.ne.jp,17,"17  www.goo.ne.jp (153.254.147.65)  284.709 ms  290.239 ms  295.730 ms
"
