URL,TTL,Response_Message
gyazo.com,0,"traceroute to gyazo.com (35.186.213.112), 30 hops max, 60 byte packets
"
gyazo.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.268 ms  0.315 ms  0.344 ms
"
gyazo.com,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.585 ms  0.623 ms  0.615 ms
"
gyazo.com,3," 3  100.64.64.58 (100.64.64.58)  0.659 ms  0.654 ms  0.643 ms
"
gyazo.com,4," 4  google-gw1.kv.wnet.ua (128.0.168.137)  0.726 ms  0.664 ms  0.710 ms
"
gyazo.com,5," 5  108.170.248.147 (108.170.248.147)  1.326 ms 108.170.248.131 (108.170.248.131)  0.897 ms 108.170.248.147 (108.170.248.147)  0.891 ms
"
gyazo.com,6," 6  209.85.248.105 (209.85.248.105)  14.959 ms  13.894 ms  14.449 ms
"
gyazo.com,7," 7  209.85.251.188 (209.85.251.188)  14.929 ms 108.170.250.209 (108.170.250.209)  15.422 ms  15.364 ms
"
gyazo.com,8," 8  108.170.250.193 (108.170.250.193)  13.767 ms 108.170.250.209 (108.170.250.209)  15.529 ms 108.170.250.193 (108.170.250.193)  13.809 ms
"
gyazo.com,9," 9  112.213.186.35.bc.googleusercontent.com (35.186.213.112)  14.362 ms  15.190 ms 108.170.234.247 (108.170.234.247)  15.196 ms
"
