URL,TTL,Response_Message
jianshu.com,0,"traceroute to jianshu.com (107.150.101.156), 30 hops max, 60 byte packets
"
jianshu.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.379 ms  0.297 ms  0.326 ms
"
jianshu.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.559 ms  0.493 ms  0.481 ms
"
jianshu.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.177 ms  28.630 ms  26.168 ms
"
jianshu.com,4," 4  ae7-1245.cr1-fra6.ip4.gtt.net (46.33.79.153)  28.559 ms  28.499 ms  30.673 ms
"
jianshu.com,5," 5  et-0-0-59.cr3-lax2.ip4.gtt.net (89.149.130.94)  174.170 ms  174.167 ms  171.350 ms
"
jianshu.com,6," 6  * * *
"
jianshu.com,7," 7  192.254.81.59 (192.254.81.59)  179.671 ms  179.753 ms  179.644 ms
"
jianshu.com,8," 8  104.254.114.23 (104.254.114.23)  179.292 ms 104.254.115.233 (104.254.115.233)  178.466 ms 104.254.114.23 (104.254.114.23)  176.701 ms
"
jianshu.com,9," 9  * * *
"
jianshu.com,10,"10  * * *
"
jianshu.com,11,"11  107.150.101.156 (107.150.101.156)  171.366 ms  173.873 ms  171.311 ms
"
jianshu.com,12,"12  107.150.101.156 (107.150.101.156)  176.871 ms  176.872 ms  177.901 ms
"
jianshu.com,13,"13  107.150.101.156 (107.150.101.156)  177.430 ms  173.203 ms  173.187 ms
"
jianshu.com,14,"14  107.150.101.156 (107.150.101.156)  172.576 ms  169.731 ms  169.313 ms
"
