URL,TTL,Response_Message
kat.cr,0,"traceroute to kat.cr (91.195.240.126), 50 hops max, 60 byte packets
"
kat.cr,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.345 ms  0.334 ms  0.363 ms
"
kat.cr,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.608 ms  0.594 ms  0.514 ms
"
kat.cr,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.806 ms  28.808 ms  26.085 ms
"
kat.cr,4," 4  ffm-b1-link.telia.net (62.115.63.109)  28.793 ms  26.583 ms  28.774 ms
"
kat.cr,5," 5  ffm-bb3-link.telia.net (62.115.121.4)  33.439 ms  33.441 ms ffm-bb3-link.telia.net (62.115.137.164)  33.432 ms
"
kat.cr,6," 6  mcn-b2-link.telia.net (62.115.120.132)  35.740 ms mcn-b2-link.telia.net (62.115.120.126)  38.213 ms  35.719 ms
"
kat.cr,7," 7  internetx-ic-332227-mcn-b2.c.telia.net (62.115.160.178)  118.225 ms  115.774 ms  115.703 ms
"
kat.cr,8," 8  91.195.241.102 (91.195.241.102)  115.215 ms  115.271 ms  117.758 ms
"
kat.cr,9," 9  91.195.241.106 (91.195.241.106)  118.883 ms  119.668 ms  116.633 ms
"
kat.cr,10,"10  91.195.240.126 (91.195.240.126)  116.006 ms  115.800 ms  115.348 ms
"
