URL,TTL,Response_Message
libero.it,0,"traceroute to libero.it (213.209.17.209), 50 hops max, 60 byte packets
"
libero.it,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.484 ms  0.473 ms  0.468 ms
"
libero.it,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.834 ms  0.619 ms  0.612 ms
"
libero.it,3," 3  ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  39.811 ms ae4-2.RT.EQX.FKT.DE.retn.net (87.245.233.164)  30.093 ms ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  31.083 ms
"
libero.it,4," 4  decix.wind.it (80.81.192.215)  49.095 ms  49.071 ms  49.448 ms
"
libero.it,5," 5  151.6.3.14 (151.6.3.14)  50.130 ms 151.6.3.16 (151.6.3.16)  49.983 ms 151.6.3.14 (151.6.3.14)  50.058 ms
"
libero.it,6," 6  151.6.3.194 (151.6.3.194)  47.605 ms  48.360 ms 151.6.2.30 (151.6.2.30)  46.965 ms
"
libero.it,7," 7  151.6.5.231 (151.6.5.231)  49.765 ms 151.6.7.11 (151.6.7.11)  50.802 ms 151.6.7.3 (151.6.7.3)  47.321 ms
"
libero.it,8," 8  151.7.80.23 (151.7.80.23)  45.541 ms 151.7.80.55 (151.7.80.55)  46.721 ms MICA-D09-fe00.wind.it (151.6.45.25)  49.439 ms
"
libero.it,9," 9  * * *
"
libero.it,10,"10  151.14.112.6 (151.14.112.6)  52.167 ms 151.14.124.6 (151.14.124.6)  50.390 ms 151.14.112.6 (151.14.112.6)  47.693 ms
"
libero.it,11,"11  * * *
"
libero.it,12,"12  * * *
"
libero.it,13,"13  213.209.17.209 (213.209.17.209)  55.960 ms  50.262 ms  52.258 ms
"
