URL,TTL,Response_Message
likes.com,0,"traceroute to likes.com (184.168.131.241), 50 hops max, 60 byte packets
"
likes.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.551 ms  0.509 ms  0.542 ms
"
likes.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.566 ms  0.548 ms  1.013 ms
"
likes.com,3," 3  ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  31.146 ms  31.110 ms ae1-5.RT.IRX.FKT.DE.retn.net (87.245.232.244)  29.702 ms
"
likes.com,4," 4  * * *
"
likes.com,5," 5  * * *
"
likes.com,6," 6  4.28.83.74 (4.28.83.74)  165.822 ms  167.176 ms  166.080 ms
"
likes.com,7," 7  ae0.ibrma1205-02.phx3.bb.godaddy.com (148.72.32.2)  164.990 ms  166.477 ms  165.404 ms
"
likes.com,8," 8  * * *
"
likes.com,9," 9  148.72.32.9 (148.72.32.9)  165.865 ms  167.548 ms  167.568 ms
"
likes.com,10,"10  ip-184-168-0-117.ip.secureserver.net (184.168.0.117)  167.803 ms  166.778 ms  167.291 ms
"
likes.com,11,"11  ip-184-168-1-134.ip.secureserver.net (184.168.1.134)  167.468 ms  166.131 ms  165.671 ms
"
likes.com,12,"12  ip-184-168-131-241.ip.secureserver.net (184.168.131.241)  167.991 ms  166.903 ms  166.621 ms
"
likes.com,13,"13  ip-184-168-131-241.ip.secureserver.net (184.168.131.241)  167.498 ms  166.994 ms  166.234 ms
"
likes.com,14,"14  ip-184-168-131-241.ip.secureserver.net (184.168.131.241)  166.420 ms  166.263 ms  167.063 ms
"
