URL,TTL,Response_Message
loading-delivery2.com,0,"traceroute to loading-delivery2.com (141.0.174.20), 50 hops max, 60 byte packets
"
loading-delivery2.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.386 ms  0.395 ms  0.419 ms
"
loading-delivery2.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.540 ms  0.785 ms  0.513 ms
"
loading-delivery2.com,3," 3  amsterdam-nik-b1-xe0-0-2-vlan3831.fiord.net (62.140.245.201)  38.417 ms  38.418 ms  38.407 ms
"
loading-delivery2.com,4," 4  80.249.211.163 (80.249.211.163)  39.032 ms  36.710 ms  36.690 ms
"
loading-delivery2.com,5," 5  138.197.244.95 (138.197.244.95)  36.936 ms  34.576 ms 138.197.244.93 (138.197.244.93)  34.416 ms
"
loading-delivery2.com,6," 6  * * *
"
loading-delivery2.com,7," 7  * * *
"
loading-delivery2.com,8," 8  * * *
"
loading-delivery2.com,9," 9  * * *
"
loading-delivery2.com,10,"10  * * *
"
loading-delivery2.com,11,"11  * * *
"
loading-delivery2.com,12,"12  * * *
"
loading-delivery2.com,13,"13  * * *
"
loading-delivery2.com,14,"14  * * *
"
loading-delivery2.com,15,"15  * * *
"
loading-delivery2.com,16,"16  * * *
"
loading-delivery2.com,17,"17  * * *
"
loading-delivery2.com,18,"18  * * *
"
loading-delivery2.com,19,"19  * * *
"
loading-delivery2.com,20,"20  * * *
"
loading-delivery2.com,21,"21  * * *
"
loading-delivery2.com,22,"22  * * *
"
loading-delivery2.com,23,"23  * * *
"
loading-delivery2.com,24,"24  * * *
"
loading-delivery2.com,25,"25  * * *
"
loading-delivery2.com,26,"26  * * *
"
loading-delivery2.com,27,"27  * * *
"
loading-delivery2.com,28,"28  * * *
"
loading-delivery2.com,29,"29  * * *
"
loading-delivery2.com,30,"30  * * *
"
loading-delivery2.com,31,"31  * * *
"
loading-delivery2.com,32,"32  * * *
"
loading-delivery2.com,33,"33  * * *
"
loading-delivery2.com,34,"34  * * *
"
loading-delivery2.com,35,"35  * * *
"
loading-delivery2.com,36,"36  * * *
"
loading-delivery2.com,37,"37  * * *
"
loading-delivery2.com,38,"38  * * *
"
loading-delivery2.com,39,"39  * * *
"
loading-delivery2.com,40,"40  * * *
"
loading-delivery2.com,41,"41  * * *
"
loading-delivery2.com,42,"42  * * *
"
loading-delivery2.com,43,"43  * * *
"
loading-delivery2.com,44,"44  * * *
"
loading-delivery2.com,45,"45  * * *
"
loading-delivery2.com,46,"46  * * *
"
loading-delivery2.com,47,"47  * * *
"
loading-delivery2.com,48,"48  * * *
"
loading-delivery2.com,49,"49  * * *
"
loading-delivery2.com,50,"50  * * *
"
