URL,TTL,Response_Message
mbc.net,0,"traceroute to mbc.net (50.19.210.76), 50 hops max, 60 byte packets
"
mbc.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.377 ms  0.355 ms  0.397 ms
"
mbc.net,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.888 ms  1.206 ms  1.135 ms
"
mbc.net,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  16.969 ms  17.336 ms  17.274 ms
"
mbc.net,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.102 ms  22.165 ms  22.585 ms
"
mbc.net,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.436 ms  30.417 ms  30.455 ms
"
mbc.net,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.628 ms  39.429 ms  39.715 ms
"
mbc.net,7," 7  be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  115.658 ms  116.522 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  114.758 ms
"
mbc.net,8," 8  be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  117.218 ms be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  115.687 ms be3627.ccr41.jfk02.atlas.cogentco.com (66.28.4.197)  116.323 ms
"
mbc.net,9," 9  be3472.ccr42.jfk02.atlas.cogentco.com (154.54.46.34)  115.414 ms be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  117.730 ms  115.121 ms
"
mbc.net,10,"10  38.140.106.162 (38.140.106.162)  118.412 ms be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  115.792 ms 38.140.107.42 (38.140.107.42)  115.611 ms
"
mbc.net,11,"11  38.140.107.42 (38.140.107.42)  114.600 ms 52.93.31.49 (52.93.31.49)  112.597 ms 52.93.31.61 (52.93.31.61)  117.656 ms
"
mbc.net,12,"12  52.93.4.58 (52.93.4.58)  112.696 ms 52.93.4.60 (52.93.4.60)  112.580 ms *
"
mbc.net,13,"13  * * *
"
mbc.net,14,"14  * 54.240.229.147 (54.240.229.147)  117.515 ms  117.511 ms
"
mbc.net,15,"15  * * *
"
mbc.net,16,"16  * * *
"
mbc.net,17,"17  * * *
"
mbc.net,18,"18  * * *
"
mbc.net,19,"19  * * *
"
mbc.net,20,"20  * * *
"
mbc.net,21,"21  * * *
"
mbc.net,22,"22  * * *
"
mbc.net,23,"23  * * *
"
mbc.net,24,"24  * * *
"
mbc.net,25,"25  52.93.28.202 (52.93.28.202)  116.195 ms 52.93.28.212 (52.93.28.212)  117.575 ms 52.93.28.230 (52.93.28.230)  117.541 ms
"
mbc.net,26,"26  52.93.28.212 (52.93.28.212)  115.960 ms * *
"
mbc.net,27,"27  * * *
"
mbc.net,28,"28  * * *
"
mbc.net,29,"29  * * *
"
mbc.net,30,"30  * * *
"
mbc.net,31,"31  ec2-50-19-210-76.compute-1.amazonaws.com (50.19.210.76)  119.218 ms * *
"
