URL,TTL,Response_Message
mlb.com,0,"traceroute to mlb.com (209.102.213.14), 50 hops max, 60 byte packets
"
mlb.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.386 ms  0.371 ms  0.377 ms
"
mlb.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.970 ms  1.037 ms  1.081 ms
"
mlb.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.039 ms  17.080 ms  17.069 ms
"
mlb.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.476 ms  22.524 ms  22.516 ms
"
mlb.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.519 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.403 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.549 ms
"
mlb.com,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.640 ms  39.348 ms  39.490 ms
"
mlb.com,7," 7  be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  114.947 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  116.636 ms  116.590 ms
"
mlb.com,8," 8  be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  117.337 ms be2490.ccr42.jfk02.atlas.cogentco.com (154.54.42.85)  117.462 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  117.487 ms
"
mlb.com,9," 9  be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  117.111 ms  118.231 ms be3472.ccr42.jfk02.atlas.cogentco.com (154.54.46.34)  115.421 ms
"
mlb.com,10,"10  be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  115.563 ms  115.946 ms att.jfk10.atlas.cogentco.com (154.54.10.98)  116.870 ms
"
mlb.com,11,"11  cr2.n54ny.ip.att.net (12.122.130.170)  163.731 ms  161.583 ms att.jfk10.atlas.cogentco.com (154.54.10.98)  117.751 ms
"
mlb.com,12,"12  wswdc22crs.ip.att.net (12.122.28.42)  164.132 ms  162.893 ms  167.434 ms
"
mlb.com,13,"13  attga21crs.ip.att.net (12.122.2.29)  167.439 ms  165.598 ms wswdc22crs.ip.att.net (12.122.28.42)  164.233 ms
"
mlb.com,14,"14  dlstx22crs.ip.att.net (12.122.2.110)  168.278 ms  162.762 ms  160.169 ms
"
mlb.com,15,"15  12.123.18.241 (12.123.18.241)  158.512 ms dlstx22crs.ip.att.net (12.122.2.110)  164.744 ms 12.123.18.241 (12.123.18.241)  160.479 ms
"
mlb.com,16,"16  12.123.18.241 (12.123.18.241)  157.250 ms 32.130.248.200 (32.130.248.200)  158.959 ms 12.123.18.241 (12.123.18.241)  158.676 ms
"
mlb.com,17,"17  32.130.248.198 (32.130.248.198)  157.645 ms  157.624 ms 32.130.248.200 (32.130.248.200)  161.073 ms
"
mlb.com,18,"18  63.241.199.142 (63.241.199.142)  157.917 ms  160.099 ms  159.206 ms
"
mlb.com,19,"19  206.16.31.18 (206.16.31.18)  167.616 ms  160.100 ms  160.167 ms
"
mlb.com,20,"20  206.16.31.18 (206.16.31.18)  159.821 ms 209.102.213.14 (209.102.213.14)  163.899 ms 206.16.31.18 (206.16.31.18)  159.898 ms
"
mlb.com,21,"21  209.102.213.14 (209.102.213.14)  162.146 ms  161.731 ms  162.376 ms
"
