URL,TTL,Response_Message
naver.jp,0,"traceroute to naver.jp (119.235.235.13), 30 hops max, 60 byte packets
"
naver.jp,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.334 ms  0.308 ms  0.349 ms
"
naver.jp,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.909 ms  1.019 ms  0.911 ms
"
naver.jp,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.370 ms  16.985 ms  17.351 ms
"
naver.jp,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.537 ms  22.394 ms  22.443 ms
"
naver.jp,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.356 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.693 ms  30.368 ms
"
naver.jp,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.285 ms  39.324 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.311 ms
"
naver.jp,7," 7  be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  140.276 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  186.578 ms be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  140.233 ms
"
naver.jp,8," 8  be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  135.472 ms  135.462 ms be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  186.681 ms
"
naver.jp,9," 9  be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  135.376 ms be3600.ccr22.alb02.atlas.cogentco.com (154.54.0.221)  185.620 ms  185.622 ms
"
naver.jp,10,"10  be2879.ccr22.cle04.atlas.cogentco.com (154.54.29.173)  186.110 ms  185.962 ms  185.926 ms
"
naver.jp,11,"11  be2718.ccr42.ord01.atlas.cogentco.com (154.54.7.129)  186.009 ms be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  140.068 ms  140.331 ms
"
naver.jp,12,"12  be2831.ccr21.mci01.atlas.cogentco.com (154.54.42.165)  146.986 ms be2832.ccr22.mci01.atlas.cogentco.com (154.54.44.169)  185.561 ms be2831.ccr21.mci01.atlas.cogentco.com (154.54.42.165)  147.088 ms
"
naver.jp,13,"13  be3036.ccr22.den01.atlas.cogentco.com (154.54.31.89)  188.772 ms be3035.ccr21.den01.atlas.cogentco.com (154.54.5.89)  158.949 ms be3036.ccr22.den01.atlas.cogentco.com (154.54.31.89)  187.180 ms
"
naver.jp,14,"14  be3038.ccr32.slc01.atlas.cogentco.com (154.54.42.97)  186.556 ms be3037.ccr21.slc01.atlas.cogentco.com (154.54.41.145)  174.177 ms be3038.ccr32.slc01.atlas.cogentco.com (154.54.42.97)  186.763 ms
"
naver.jp,15,"15  be3109.ccr21.sfo01.atlas.cogentco.com (154.54.44.137)  188.442 ms  189.410 ms  188.772 ms
"
naver.jp,16,"16  be3670.ccr41.sjc03.atlas.cogentco.com (154.54.43.14)  185.304 ms be3109.ccr21.sfo01.atlas.cogentco.com (154.54.44.137)  190.648 ms be3669.ccr41.sjc03.atlas.cogentco.com (154.54.43.10)  185.858 ms
"
naver.jp,17,"17  38.88.224.178 (38.88.224.178)  184.221 ms be3669.ccr41.sjc03.atlas.cogentco.com (154.54.43.10)  190.069 ms 38.88.224.178 (38.88.224.178)  181.539 ms
"
naver.jp,18,"18  111.87.3.113 (111.87.3.113)  179.526 ms 111.87.3.229 (111.87.3.229)  174.931 ms 111.87.3.117 (111.87.3.117)  180.443 ms
"
naver.jp,19,"19  oteACS002.int-gw.kddi.ne.jp (106.187.13.17)  278.597 ms oteACS001.int-gw.kddi.ne.jp.13.187.106.in-addr.arpa (106.187.13.13)  276.214 ms 106.187.13.5 (106.187.13.5)  281.525 ms
"
naver.jp,20,"20  106.187.13.25 (106.187.13.25)  281.800 ms 27.85.227.242 (27.85.227.242)  285.230 ms 106.187.13.9 (106.187.13.9)  281.936 ms
"
naver.jp,21,"21  cm-kot210.int-gw.kddi.ne.jp (125.29.22.170)  284.734 ms cm-kot210.int-gw.kddi.ne.jp (125.29.22.174)  274.826 ms cm-kot210.int-gw.kddi.ne.jp (125.29.22.170)  277.253 ms
"
naver.jp,22,"22  125.29.31.142 (125.29.31.142)  299.612 ms  289.365 ms  293.426 ms
"
naver.jp,23,"23  * * *
"
naver.jp,24,"24  * * *
"
naver.jp,25,"25  * * *
"
naver.jp,26,"26  * * *
"
naver.jp,27,"27  * * *
"
naver.jp,28,"28  * * *
"
naver.jp,29,"29  * * *
"
naver.jp,30,"30  * * *
"
