URL,TTL,Response_Message
nbcnews.com,0,"traceroute to nbcnews.com (35.153.221.86), 30 hops max, 60 byte packets
"
nbcnews.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.316 ms  0.281 ms  0.301 ms
"
nbcnews.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  1.088 ms  1.099 ms  1.137 ms
"
nbcnews.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.152 ms  17.155 ms  17.246 ms
"
nbcnews.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.474 ms  22.686 ms  22.603 ms
"
nbcnews.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  31.952 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  31.550 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  32.141 ms
"
nbcnews.com,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.381 ms  39.429 ms  39.434 ms
"
nbcnews.com,7," 7  be12266.ccr42.par01.atlas.cogentco.com (154.54.56.174)  117.534 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  116.613 ms  115.562 ms
"
nbcnews.com,8," 8  be2490.ccr42.jfk02.atlas.cogentco.com (154.54.42.85)  118.205 ms  119.410 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  116.016 ms
"
nbcnews.com,9," 9  be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  118.773 ms be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  118.274 ms be3472.ccr42.jfk02.atlas.cogentco.com (154.54.46.34)  115.791 ms
"
nbcnews.com,10,"10  38.140.107.42 (38.140.107.42)  117.166 ms 38.140.106.162 (38.140.106.162)  117.319 ms 38.140.107.42 (38.140.107.42)  117.233 ms
"
nbcnews.com,11,"11  52.93.31.55 (52.93.31.55)  115.907 ms 52.93.31.59 (52.93.31.59)  113.763 ms 52.93.31.33 (52.93.31.33)  115.327 ms
"
nbcnews.com,12,"12  52.93.31.47 (52.93.31.47)  118.231 ms 52.93.4.12 (52.93.4.12)  111.470 ms 52.93.31.39 (52.93.31.39)  138.494 ms
"
nbcnews.com,13,"13  52.93.4.36 (52.93.4.36)  110.831 ms * *
"
nbcnews.com,14,"14  54.240.229.139 (54.240.229.139)  116.708 ms  117.850 ms 54.240.229.145 (54.240.229.145)  118.795 ms
"
nbcnews.com,15,"15  * * 54.240.229.149 (54.240.229.149)  116.676 ms
"
nbcnews.com,16,"16  * * *
"
nbcnews.com,17,"17  * * *
"
nbcnews.com,18,"18  * * *
"
nbcnews.com,19,"19  * * *
"
nbcnews.com,20,"20  * * *
"
nbcnews.com,21,"21  * * *
"
nbcnews.com,22,"22  * * *
"
nbcnews.com,23,"23  * * *
"
nbcnews.com,24,"24  * * *
"
nbcnews.com,25,"25  * 52.93.28.178 (52.93.28.178)  116.393 ms 52.93.28.144 (52.93.28.144)  121.553 ms
"
nbcnews.com,26,"26  * 52.93.28.144 (52.93.28.144)  121.512 ms 52.93.28.166 (52.93.28.166)  118.020 ms
"
nbcnews.com,27,"27  * * *
"
nbcnews.com,28,"28  * * *
"
nbcnews.com,29,"29  * * *
"
nbcnews.com,30,"30  * * *
"
