URL,TTL,Response_Message
okdiario.com,0,"traceroute to okdiario.com (185.104.133.8), 30 hops max, 60 byte packets
"
okdiario.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.452 ms  0.440 ms  0.493 ms
"
okdiario.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.817 ms  0.809 ms  0.598 ms
"
okdiario.com,3," 3  ae3-8.RT.TC2.AMS.NL.retn.net (87.245.233.17)  32.457 ms  32.436 ms  32.432 ms
"
okdiario.com,4," 4  80.249.210.43 (80.249.210.43)  33.002 ms  32.990 ms  32.927 ms
"
okdiario.com,5," 5  DDOS-FILTER (5.254.73.99)  33.601 ms  33.605 ms  33.586 ms
"
okdiario.com,6," 6  mad-in1-02t.voxility.net (5.254.30.98)  61.654 ms  63.157 ms  63.091 ms
"
okdiario.com,7," 7  mad-in1-01c.voxility.net (5.254.30.97)  61.908 ms  61.887 ms  62.055 ms
"
okdiario.com,8," 8  5.254.30.146 (5.254.30.146)  62.340 ms 5.254.30.147 (5.254.30.147)  63.660 ms  63.566 ms
"
okdiario.com,9," 9  185.104.133.8 (185.104.133.8)  62.214 ms  63.596 ms  62.190 ms
"
