URL,TTL,Response_Message
pixiv.net,0,"traceroute to pixiv.net (210.140.131.223), 30 hops max, 60 byte packets
"
pixiv.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.374 ms  0.320 ms  0.345 ms
"
pixiv.net,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  1.039 ms  1.175 ms  0.883 ms
"
pixiv.net,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.611 ms  17.603 ms  17.567 ms
"
pixiv.net,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.386 ms  22.469 ms  22.518 ms
"
pixiv.net,5," 5  be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.507 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.950 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.757 ms
"
pixiv.net,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.826 ms  39.430 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.401 ms
"
pixiv.net,7," 7  be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  135.735 ms  135.767 ms be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  140.470 ms
"
pixiv.net,8," 8  be2182.ccr21.lpl01.atlas.cogentco.com (154.54.77.246)  190.881 ms be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  135.458 ms be2101.ccr32.bos01.atlas.cogentco.com (154.54.82.38)  186.368 ms
"
pixiv.net,9," 9  be3600.ccr22.alb02.atlas.cogentco.com (154.54.0.221)  185.642 ms  185.700 ms  185.729 ms
"
pixiv.net,10,"10  be2879.ccr22.cle04.atlas.cogentco.com (154.54.29.173)  186.074 ms  186.119 ms  186.208 ms
"
pixiv.net,11,"11  be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  136.119 ms be2993.ccr21.cle04.atlas.cogentco.com (154.54.31.225)  190.374 ms be2718.ccr42.ord01.atlas.cogentco.com (154.54.7.129)  185.433 ms
"
pixiv.net,12,"12  be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  190.320 ms be2831.ccr21.mci01.atlas.cogentco.com (154.54.42.165)  152.083 ms be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  190.115 ms
"
pixiv.net,13,"13  be3036.ccr22.den01.atlas.cogentco.com (154.54.31.89)  186.377 ms be3035.ccr21.den01.atlas.cogentco.com (154.54.5.89)  159.786 ms be2831.ccr21.mci01.atlas.cogentco.com (154.54.42.165)  191.098 ms
"
pixiv.net,14,"14  be3037.ccr21.slc01.atlas.cogentco.com (154.54.41.145)  173.859 ms be3035.ccr21.den01.atlas.cogentco.com (154.54.5.89)  190.587 ms be3037.ccr21.slc01.atlas.cogentco.com (154.54.41.145)  171.658 ms
"
pixiv.net,15,"15  be3110.ccr22.sfo01.atlas.cogentco.com (154.54.44.141)  185.581 ms be3109.ccr21.sfo01.atlas.cogentco.com (154.54.44.137)  184.064 ms be3110.ccr22.sfo01.atlas.cogentco.com (154.54.44.141)  185.593 ms
"
pixiv.net,16,"16  be3670.ccr41.sjc03.atlas.cogentco.com (154.54.43.14)  186.201 ms  185.511 ms be3669.ccr41.sjc03.atlas.cogentco.com (154.54.43.10)  186.670 ms
"
pixiv.net,17,"17  38.88.224.178 (38.88.224.178)  180.064 ms  180.166 ms  180.204 ms
"
pixiv.net,18,"18  111.87.3.229 (111.87.3.229)  175.204 ms 111.87.3.105 (111.87.3.105)  180.197 ms 111.87.3.225 (111.87.3.225)  174.885 ms
"
pixiv.net,19,"19  oteACS002.int-gw.kddi.ne.jp (106.187.13.17)  277.913 ms 111.87.3.109 (111.87.3.109)  180.144 ms oteACS001.int-gw.kddi.ne.jp.13.187.106.in-addr.arpa (106.187.13.13)  278.923 ms
"
pixiv.net,20,"20  oteACS002.int-gw.kddi.ne.jp (106.187.13.17)  283.602 ms 27.85.227.109 (27.85.227.109)  277.366 ms  275.750 ms
"
pixiv.net,21,"21  27.86.46.93 (27.86.46.93)  286.542 ms oteJIN301.int-gw.kddi.ne.jp (27.86.32.6)  281.427 ms  298.342 ms
"
pixiv.net,22,"22  111.108.12.170 (111.108.12.170)  240.308 ms  241.064 ms  243.859 ms
"
pixiv.net,23,"23  202.93.95.182 (202.93.95.182)  238.509 ms  237.862 ms  244.069 ms
"
pixiv.net,24,"24  202.93.95.182 (202.93.95.182)  248.158 ms 118.151.224.194 (118.151.224.194)  244.151 ms 202.93.95.182 (202.93.95.182)  245.919 ms
"
pixiv.net,25,"25  158.205.134.62 (158.205.134.62)  241.436 ms  245.955 ms  241.423 ms
"
pixiv.net,26,"26  158.205.134.62 (158.205.134.62)  246.487 ms * *
"
pixiv.net,27,"27  * gate210-140-131-223.pixiv.net (210.140.131.223)  245.868 ms  243.848 ms
"
