URL,TTL,Response_Message
realtor.com,0,"traceroute to realtor.com (206.131.180.21), 50 hops max, 60 byte packets
"
realtor.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.375 ms  0.380 ms  0.420 ms
"
realtor.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.609 ms  0.601 ms  0.639 ms
"
realtor.com,3," 3  ae1-5.RT.IRX.FKT.DE.retn.net (87.245.232.244)  29.851 ms ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  31.042 ms  31.037 ms
"
realtor.com,4," 4  * * *
"
realtor.com,5," 5  ae-2-3212.msr1.Frankfurt1.Level3.net (4.69.163.126)  112.147 ms  110.956 ms ae-1-3112.msr1.Frankfurt1.Level3.net (4.69.163.122)  112.622 ms
"
realtor.com,6," 6  * * *
"
realtor.com,7," 7  * * *
"
realtor.com,8," 8  * * *
"
realtor.com,9," 9  * * *
"
realtor.com,10,"10  * * *
"
realtor.com,11,"11  206.131.184.1 (206.131.184.1)  194.742 ms  173.855 ms  193.467 ms
"
realtor.com,12,"12  featurehomeprice.com (206.131.180.21)  174.251 ms  175.494 ms  194.773 ms
"
