URL,TTL,Response_Message
shiltirs.com,0,"traceroute to shiltirs.com (78.140.190.92), 30 hops max, 60 byte packets
"
shiltirs.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.321 ms  0.310 ms  0.301 ms
"
shiltirs.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.964 ms  0.986 ms  1.071 ms
"
shiltirs.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.060 ms  17.063 ms  17.052 ms
"
shiltirs.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.312 ms  22.308 ms  22.633 ms
"
shiltirs.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.477 ms  30.512 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.560 ms
"
shiltirs.com,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.814 ms  39.348 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.637 ms
"
shiltirs.com,7," 7  be3433.rcr21.ams06.atlas.cogentco.com (154.54.58.202)  40.070 ms  40.011 ms  40.269 ms
"
shiltirs.com,8," 8  universal-cdn.demarc.cogentco.com (149.6.1.46)  39.745 ms  39.737 ms universal-cdn.demarc.cogentco.com (149.6.1.26)  40.255 ms
"
shiltirs.com,9," 9  xcore-ams1-wz-r2.webzilla.com (78.140.169.23)  38.252 ms xcore-ams1-wz-r1.webzilla.com (78.140.169.3)  40.210 ms xcore-ams1-wz-r2.webzilla.com (78.140.169.23)  38.397 ms
"
shiltirs.com,10,"10  78.140.190.92 (78.140.190.92)  36.800 ms  36.422 ms  36.288 ms
"
