URL,TTL,Response_Message
videomega.tv,0,"traceroute to videomega.tv (103.224.182.251), 50 hops max, 60 byte packets
"
videomega.tv,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.320 ms  0.314 ms  0.300 ms
"
videomega.tv,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.970 ms  1.097 ms  1.005 ms
"
videomega.tv,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.185 ms  16.993 ms  17.201 ms
"
videomega.tv,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.318 ms  22.175 ms  22.326 ms
"
videomega.tv,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.436 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.374 ms  30.387 ms
"
videomega.tv,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.470 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.734 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.648 ms
"
videomega.tv,7," 7  be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  114.905 ms be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  117.970 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  114.997 ms
"
videomega.tv,8," 8  be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  117.124 ms be3627.ccr41.jfk02.atlas.cogentco.com (66.28.4.197)  116.752 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  115.106 ms
"
videomega.tv,9," 9  be3471.ccr41.jfk02.atlas.cogentco.com (154.54.40.154)  115.360 ms be2807.ccr42.dca01.atlas.cogentco.com (154.54.40.110)  123.747 ms  120.525 ms
"
videomega.tv,10,"10  be2112.ccr41.atl01.atlas.cogentco.com (154.54.7.158)  134.984 ms  136.458 ms be2806.ccr41.dca01.atlas.cogentco.com (154.54.40.106)  121.425 ms
"
videomega.tv,11,"11  be2690.ccr42.iah01.atlas.cogentco.com (154.54.28.130)  150.901 ms be2687.ccr41.iah01.atlas.cogentco.com (154.54.28.70)  148.277 ms be2112.ccr41.atl01.atlas.cogentco.com (154.54.7.158)  133.902 ms
"
videomega.tv,12,"12  be2690.ccr42.iah01.atlas.cogentco.com (154.54.28.130)  147.987 ms be2928.ccr21.elp01.atlas.cogentco.com (154.54.30.162)  161.774 ms  164.254 ms
"
videomega.tv,13,"13  be2929.ccr31.phx01.atlas.cogentco.com (154.54.42.65)  170.061 ms be2930.ccr32.phx01.atlas.cogentco.com (154.54.42.77)  173.584 ms be2929.ccr31.phx01.atlas.cogentco.com (154.54.42.65)  172.335 ms
"
videomega.tv,14,"14  be2930.ccr32.phx01.atlas.cogentco.com (154.54.42.77)  171.755 ms be2940.rcr51.san01.atlas.cogentco.com (154.54.6.121)  182.564 ms be2941.rcr52.san01.atlas.cogentco.com (154.54.41.33)  180.557 ms
"
videomega.tv,15,"15  be2941.rcr52.san01.atlas.cogentco.com (154.54.41.33)  179.586 ms te0-0-2-0.nr11.b022887-0.san01.atlas.cogentco.com (154.24.7.226)  180.825 ms be2941.rcr52.san01.atlas.cogentco.com (154.54.41.33)  179.546 ms
"
videomega.tv,16,"16  38.140.111.58 (38.140.111.58)  181.541 ms  181.487 ms  183.802 ms
"
videomega.tv,17,"17  38.140.111.58 (38.140.111.58)  181.313 ms sw03-san.trellian.com (103.224.213.253)  180.067 ms 38.140.111.58 (38.140.111.58)  181.485 ms
"
videomega.tv,18,"18  lb-182-251.above.com (103.224.182.251)  182.469 ms sw03-san.trellian.com (103.224.213.253)  180.091 ms lb-182-251.above.com (103.224.182.251)  182.515 ms
"
