URL,TTL,Response_Message
voc.com.cn,0,"traceroute to voc.com.cn (124.232.151.199), 30 hops max, 60 byte packets
"
voc.com.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  1.507 ms  1.516 ms  1.554 ms
"
voc.com.cn,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.631 ms  0.630 ms  0.618 ms
"
voc.com.cn,3," 3  100.64.65.25 (100.64.65.25)  23.783 ms  8.234 ms  7.837 ms
"
voc.com.cn,4," 4  100.64.64.141 (100.64.64.141)  29.951 ms  29.914 ms  29.922 ms
"
voc.com.cn,5," 5  81.173.22.17 (81.173.22.17)  30.949 ms  30.937 ms  34.760 ms
"
voc.com.cn,6," 6  202.97.67.237 (202.97.67.237)  231.015 ms  230.985 ms  231.478 ms
"
voc.com.cn,7," 7  202.97.12.22 (202.97.12.22)  229.496 ms 202.97.12.14 (202.97.12.14)  232.389 ms 202.97.94.117 (202.97.94.117)  240.130 ms
"
voc.com.cn,8," 8  202.97.94.137 (202.97.94.137)  227.022 ms 202.97.94.121 (202.97.94.121)  225.236 ms 202.97.94.125 (202.97.94.125)  247.665 ms
"
voc.com.cn,9," 9  202.97.42.162 (202.97.42.162)  246.910 ms 202.97.77.162 (202.97.77.162)  281.541 ms *
"
voc.com.cn,10,"10  61.137.8.150 (61.137.8.150)  261.286 ms 61.137.9.158 (61.137.9.158)  258.343 ms 61.137.8.34 (61.137.8.34)  254.037 ms
"
voc.com.cn,11,"11  124.232.134.1 (124.232.134.1)  253.358 ms * 124.232.134.5 (124.232.134.5)  274.297 ms
"
voc.com.cn,12,"12  * * *
"
voc.com.cn,13,"13  124.232.151.199 (124.232.151.199)  257.570 ms  259.564 ms  247.030 ms
"
