URL,TTL,Response_Message
xcar.com.cn,0,"traceroute to xcar.com.cn (192.144.194.149), 50 hops max, 60 byte packets
"
xcar.com.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.543 ms  0.533 ms  0.527 ms
"
xcar.com.cn,2," 2  * v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.566 ms *
"
xcar.com.cn,3," 3  100.64.65.25 (100.64.65.25)  57.316 ms  19.264 ms  8.241 ms
"
xcar.com.cn,4," 4  100.64.64.141 (100.64.64.141)  30.542 ms  30.503 ms  30.378 ms
"
xcar.com.cn,5," 5  81.173.22.17 (81.173.22.17)  32.394 ms  32.380 ms  32.377 ms
"
xcar.com.cn,6," 6  202.97.58.77 (202.97.58.77)  176.130 ms  175.343 ms  175.320 ms
"
xcar.com.cn,7," 7  202.97.12.53 (202.97.12.53)  230.309 ms  230.293 ms  230.158 ms
"
xcar.com.cn,8," 8  * * *
"
xcar.com.cn,9," 9  180.149.159.6 (180.149.159.6)  200.941 ms 36.110.244.18 (36.110.244.18)  192.994 ms *
"
xcar.com.cn,10,"10  * * *
"
xcar.com.cn,11,"11  * 36.110.203.230 (36.110.203.230)  189.725 ms 36.110.203.242 (36.110.203.242)  282.484 ms
"
xcar.com.cn,12,"12  * * *
"
xcar.com.cn,13,"13  192.144.194.149 (192.144.194.149)  187.952 ms  197.523 ms  187.962 ms
"
