URL,TTL,Response_Message
ebay.in,0,"traceroute to ebay.in (66.135.196.249), 30 hops max, 60 byte packets
"
ebay.in,1," 1  192.168.42.129 (192.168.42.129)  1.587 ms  1.548 ms  1.713 ms
"
ebay.in,2," 2  rit-core1-hsrp-010-vlan4078.rit.edu (129.21.71.252)  37.818 ms  37.929 ms  38.079 ms
"
ebay.in,3," 3  rit-rit1-100g-pp-rtr001-vlan856.rit.edu (129.21.8.126)  37.580 ms  37.559 ms  37.593 ms
"
ebay.in,4," 4  de-cix.nyc.ebay.com (206.82.104.115)  38.151 ms  38.130 ms  38.300 ms
"
ebay.in,5," 5  et-10-3-0-lvs1-bcr2.bb.ebay.com (216.113.190.90)  109.952 ms et-10-3-0-lvs1-bcr1.bb.ebay.com (216.113.190.52)  104.171 ms  104.233 ms
"
ebay.in,6," 6  * * *
"
ebay.in,7," 7  * * *
"
ebay.in,8," 8  * * *
"
ebay.in,9," 9  * * *
"
ebay.in,10,"10  * * *
"
ebay.in,11,"11  * * *
"
ebay.in,12,"12  * * *
"
ebay.in,13,"13  * * *
"
ebay.in,14,"14  * * *
"
ebay.in,15,"15  * * *
"
ebay.in,16,"16  * * *
"
ebay.in,17,"17  * * *
"
ebay.in,18,"18  * * *
"
ebay.in,19,"19  * * *
"
ebay.in,20,"20  * * *
"
ebay.in,21,"21  * * *
"
ebay.in,22,"22  * * *
"
ebay.in,23,"23  * * *
"
ebay.in,24,"24  * * *
"
ebay.in,25,"25  * * *
"
ebay.in,26,"26  * * *
"
ebay.in,27,"27  * * *
"
ebay.in,28,"28  * * *
"
ebay.in,29,"29  * * *
"
ebay.in,30,"30  * * *
"
