URL,TTL,Response_Message
iiitd.ac.in,0,"traceroute to iiitd.ac.in (103.25.231.30), 30 hops max, 60 byte packets
"
iiitd.ac.in,1," 1  192.168.42.129 (192.168.42.129)  1.245 ms  1.782 ms  1.843 ms
"
iiitd.ac.in,2," 2  rit-core1-hsrp-010-vlan4078.rit.edu (129.21.71.252)  24.661 ms  24.619 ms  24.703 ms
"
iiitd.ac.in,3," 3  rit-rit1-100g-pp-rtr001-vlan856.rit.edu (129.21.8.126)  24.284 ms  24.180 ms  24.318 ms
"
iiitd.ac.in,4," 4  199.109.11.9 (199.109.11.9)  24.680 ms  28.294 ms  28.458 ms
"
iiitd.ac.in,5," 5  syr-9208-buf-9208.nysernet.net (199.109.7.193)  28.409 ms  29.363 ms  29.422 ms
"
iiitd.ac.in,6," 6  nyc111-9204-syr-9208.nysernet.net (199.109.7.94)  35.814 ms  31.531 ms  31.249 ms
"
iiitd.ac.in,7," 7  nyc-9208-nyc111-9204.nysernet.net (199.109.7.165)  28.967 ms  21.207 ms  21.187 ms
"
iiitd.ac.in,8," 8  I2-NEWY-nyc-9208.nysernet.net (199.109.5.2)  21.259 ms  19.335 ms  19.392 ms
"
iiitd.ac.in,9," 9  180.149.48.12 (180.149.48.12)  109.032 ms  109.196 ms  106.990 ms
"
iiitd.ac.in,10,"10  180.149.48.21 (180.149.48.21)  107.071 ms 180.149.48.1 (180.149.48.1)  227.062 ms 180.149.48.21 (180.149.48.21)  107.189 ms
"
iiitd.ac.in,11,"11  180.149.48.5 (180.149.48.5)  227.132 ms 180.149.48.17 (180.149.48.17)  226.012 ms 180.149.48.5 (180.149.48.5)  262.725 ms
"
iiitd.ac.in,12,"12  180.149.48.17 (180.149.48.17)  262.618 ms * *
"
iiitd.ac.in,13,"13  * * *
"
iiitd.ac.in,14,"14  * 103.25.231.1 (103.25.231.1)  266.406 ms  307.481 ms
"
iiitd.ac.in,15,"15  * * *
"
iiitd.ac.in,16,"16  * * *
"
iiitd.ac.in,17,"17  * * *
"
iiitd.ac.in,18,"18  * * *
"
iiitd.ac.in,19,"19  * * *
"
iiitd.ac.in,20,"20  * * *
"
iiitd.ac.in,21,"21  * * *
"
iiitd.ac.in,22,"22  * * *
"
iiitd.ac.in,23,"23  * * *
"
iiitd.ac.in,24,"24  * * *
"
iiitd.ac.in,25,"25  * * *
"
iiitd.ac.in,26,"26  * * *
"
iiitd.ac.in,27,"27  * * *
"
iiitd.ac.in,28,"28  * * *
"
iiitd.ac.in,29,"29  * * *
"
iiitd.ac.in,30,"30  * * *
"
