URL,TTL,Response_Message
cntv.cn,0,"traceroute to cntv.cn (202.108.8.151), 50 hops max, 60 byte packets
"
cntv.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.245 ms  0.266 ms  0.293 ms
"
cntv.cn,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.486 ms  0.554 ms  0.590 ms
"
cntv.cn,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.624 ms  28.599 ms  28.652 ms
"
cntv.cn,4," 4  ae7-1245.cr1-fra6.ip4.gtt.net (46.33.79.153)  32.340 ms  28.070 ms  30.595 ms
"
cntv.cn,5," 5  et-0-0-67.cr4-lax2.ip4.gtt.net (89.149.140.77)  168.823 ms et-0-0-53.cr4-lax2.ip4.gtt.net (213.254.230.250)  173.881 ms  173.869 ms
"
cntv.cn,6," 6  219.158.42.241 (219.158.42.241)  170.996 ms 219.158.33.49 (219.158.33.49)  172.108 ms  172.097 ms
"
cntv.cn,7," 7  219.158.96.233 (219.158.96.233)  337.766 ms  337.733 ms  345.732 ms
"
cntv.cn,8," 8  219.158.96.206 (219.158.96.206)  344.651 ms  341.285 ms  340.301 ms
"
cntv.cn,9," 9  219.158.103.41 (219.158.103.41)  337.664 ms  337.368 ms  339.091 ms
"
cntv.cn,10,"10  219.158.7.21 (219.158.7.21)  339.449 ms  347.596 ms 219.158.15.37 (219.158.15.37)  345.945 ms
"
cntv.cn,11,"11  * * *
"
cntv.cn,12,"12  125.33.186.42 (125.33.186.42)  337.128 ms 202.96.12.2 (202.96.12.2)  337.551 ms 61.149.203.118 (61.149.203.118)  338.101 ms
"
cntv.cn,13,"13  61.148.143.22 (61.148.143.22)  336.266 ms 61.148.143.18 (61.148.143.18)  341.162 ms 61.148.143.22 (61.148.143.22)  336.526 ms
"
cntv.cn,14,"14  61.49.42.130 (61.49.42.130)  337.820 ms  340.044 ms 61.148.143.18 (61.148.143.18)  337.706 ms
"
cntv.cn,15,"15  zz-8-151-a8.bta.net.cn (202.108.8.151)  337.857 ms 61.49.42.130 (61.49.42.130)  340.960 ms  342.293 ms
"
