URL,TTL,Response_Message
rdsa2013.com,0,"traceroute to rdsa2013.com (173.192.101.27), 30 hops max, 60 byte packets
"
rdsa2013.com,1," 1  rit-core1-010-vlan4073.rit.edu (129.21.63.252)  14.530 ms  17.891 ms  17.869 ms
"
rdsa2013.com,2," 2  rit-rit1-100g-pp-rtr001-vlan856.rit.edu (129.21.8.126)  3.713 ms  3.776 ms  14.305 ms
"
rdsa2013.com,3," 3  de-cix.nyc.us.ibm.com (206.82.104.149)  21.420 ms  21.406 ms  21.381 ms
"
rdsa2013.com,4," 4  * * *
"
rdsa2013.com,5," 5  * * *
"
rdsa2013.com,6," 6  * * *
"
rdsa2013.com,7," 7  * * *
"
rdsa2013.com,8," 8  * ae34.bbr01.eq01.dal03.networklayer.com (50.97.17.57)  287.394 ms  280.999 ms
"
rdsa2013.com,9," 9  ae6.dar02.dal05.networklayer.com (50.97.18.193)  392.809 ms ae5.dar01.dal05.networklayer.com (173.192.18.215)  111.694 ms  111.571 ms
"
rdsa2013.com,10,"10  po2.fcr01.sr01.dal05.networklayer.com (173.192.118.133)  161.594 ms  163.764 ms po1.fcr01.sr01.dal05.networklayer.com (173.192.118.131)  162.596 ms
"
rdsa2013.com,11,"11  1b.65.c0ad.ip4.static.sl-reverse.com (173.192.101.27)  111.506 ms  111.483 ms  111.419 ms
"
