URL,TTL,Response_Message
urdupoint.com,0,"traceroute to urdupoint.com (104.17.14.38), 30 hops max, 60 byte packets
"
urdupoint.com,1," 1  192.168.42.129 (192.168.42.129)  1.385 ms  1.504 ms  1.734 ms
"
urdupoint.com,2," 2  rit-core1-hsrp-010-vlan4078.rit.edu (129.21.71.252)  7.871 ms  8.031 ms  8.102 ms
"
urdupoint.com,3," 3  rit-rit1-100g-pp-rtr001-vlan856.rit.edu (129.21.8.126)  7.752 ms  7.800 ms  7.875 ms
"
urdupoint.com,4," 4  199.109.111.9 (199.109.111.9)  8.105 ms  8.074 ms  10.275 ms
"
urdupoint.com,5," 5  199.109.107.193 (199.109.107.193)  12.226 ms  12.377 ms  12.346 ms
"
urdupoint.com,6," 6  nyc111-9204-syr-9208.cdn.nysernet.net (199.109.107.94)  18.587 ms  14.140 ms  14.083 ms
"
urdupoint.com,7," 7  * * *
"
urdupoint.com,8," 8  * * *
"
urdupoint.com,9," 9  * * *
"
urdupoint.com,10,"10  * * *
"
urdupoint.com,11,"11  * * *
"
urdupoint.com,12,"12  * * *
"
urdupoint.com,13,"13  * * *
"
urdupoint.com,14,"14  * * *
"
urdupoint.com,15,"15  * * *
"
urdupoint.com,16,"16  * * *
"
urdupoint.com,17,"17  * * *
"
urdupoint.com,18,"18  * * *
"
urdupoint.com,19,"19  * * *
"
urdupoint.com,20,"20  * * *
"
urdupoint.com,21,"21  * * *
"
urdupoint.com,22,"22  * * *
"
urdupoint.com,23,"23  * * *
"
urdupoint.com,24,"24  * * *
"
urdupoint.com,25,"25  * * *
"
urdupoint.com,26,"26  * * *
"
urdupoint.com,27,"27  * * *
"
urdupoint.com,28,"28  * * *
"
urdupoint.com,29,"29  * * *
"
urdupoint.com,30,"30  * * *
"
