URL,TTL,Response_Message
1905.com,0,"traceroute to 1905.com (118.145.26.112), 30 hops max, 60 byte packets
"
1905.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  10.056 ms  0.223 ms  0.352 ms  6.616 ms  0.527 ms  0.294 ms  1.771 ms  0.263 ms  2.610 ms  0.246 ms
"
1905.com,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.605 ms  0.612 ms  0.623 ms  57.726 ms  0.588 ms  16.905 ms  0.607 ms  0.608 ms  0.633 ms  0.648 ms
"
1905.com,3," 3  100.64.65.25 (100.64.65.25)  8.294 ms  8.280 ms  8.256 ms  8.197 ms  7.844 ms  7.832 ms  7.761 ms  8.251 ms  8.218 ms  7.765 ms
"
1905.com,4," 4  100.64.64.141 (100.64.64.141)  29.928 ms  30.363 ms  29.944 ms  29.923 ms  30.378 ms  30.426 ms  29.936 ms  30.374 ms  54.469 ms  29.954 ms
"
1905.com,5," 5  81.173.22.17 (81.173.22.17)  33.416 ms  32.373 ms  30.783 ms  30.605 ms  33.747 ms  32.917 ms  31.861 ms  34.750 ms  33.705 ms  32.786 ms
"
1905.com,6," 6  202.97.99.157 (202.97.99.157)  196.666 ms  191.637 ms  195.423 ms  191.313 ms  195.151 ms  190.957 ms  194.894 ms  190.650 ms  194.593 ms  190.409 ms
"
1905.com,7," 7  202.97.84.9 (202.97.84.9)  196.766 ms  196.621 ms  196.403 ms  196.351 ms  195.422 ms  195.429 ms  198.414 ms  198.275 ms  198.102 ms  198.041 ms
"
1905.com,8," 8  202.97.94.185 (202.97.94.185)  210.467 ms  210.809 ms  209.140 ms  209.452 ms  212.059 ms  216.286 ms  210.091 ms  212.771 ms  217.610 ms  208.775 ms
"
1905.com,9," 9  * * * * * * * * * *
"
1905.com,10,"10  * * * * * * * * * *
"
1905.com,11,"11  * * * * * * * * * *
"
1905.com,12,"12  218.241.244.10 (218.241.244.10)  207.491 ms  207.852 ms * 218.241.244.22 (218.241.244.22)  209.708 ms 218.241.244.18 (218.241.244.18)  200.479 ms 218.241.244.14 (218.241.244.14)  212.552 ms 218.241.244.2 (218.241.244.2)  211.133 ms 218.241.244.10 (218.241.244.10)  208.093 ms 218.241.244.6 (218.241.244.6)  209.784 ms *
"
1905.com,13,"13  * * * * * * 218.241.255.250 (218.241.255.250)  197.052 ms  199.595 ms *  196.770 ms
"
1905.com,14,"14  124.202.11.126 (124.202.11.126)  262.495 ms *  269.512 ms  263.727 ms  262.691 ms * *  263.083 ms  264.328 ms  264.885 ms
"
1905.com,15,"15  * * * * * * * * * *
"
1905.com,16,"16  * 218.241.152.234 (218.241.152.234)  206.212 ms *  206.106 ms  205.978 ms  206.503 ms  205.718 ms  207.023 ms  207.092 ms  207.269 ms
"
1905.com,17,"17  118.145.26.112 (118.145.26.112)  208.250 ms  207.191 ms  209.652 ms  209.359 ms  219.715 ms  210.065 ms  210.048 ms  208.539 ms  209.688 ms  206.373 ms
"
