URL,TTL,Response_Message
39.net,0,"traceroute to 39.net (219.238.238.42), 30 hops max, 60 byte packets
"
39.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.348 ms  0.349 ms  0.289 ms  0.276 ms  3.468 ms  0.537 ms  0.239 ms  0.278 ms  0.284 ms  1.810 ms
"
39.net,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.663 ms  0.598 ms  0.660 ms  0.717 ms  0.621 ms  0.634 ms  0.600 ms  0.572 ms  0.977 ms  0.602 ms
"
39.net,3," 3  100.64.65.25 (100.64.65.25)  7.802 ms  8.294 ms  7.813 ms  7.803 ms  22.707 ms  19.430 ms  8.221 ms  7.796 ms  7.725 ms  8.226 ms
"
39.net,4," 4  100.64.64.141 (100.64.64.141)  43.531 ms  29.924 ms  29.960 ms  29.919 ms  30.402 ms  30.417 ms  29.886 ms  30.379 ms  29.977 ms  30.476 ms
"
39.net,5," 5  81.173.22.17 (81.173.22.17)  33.084 ms  32.037 ms  33.713 ms  33.635 ms  32.873 ms  31.915 ms  34.703 ms  33.617 ms  32.751 ms  32.037 ms
"
39.net,6," 6  202.97.99.157 (202.97.99.157)  196.196 ms  191.944 ms  227.380 ms  207.274 ms  195.611 ms  191.438 ms  195.320 ms  191.119 ms  195.627 ms  190.896 ms
"
39.net,7," 7  202.97.85.41 (202.97.85.41)  186.832 ms  186.515 ms  185.779 ms  185.092 ms  184.679 ms  184.613 ms  184.456 ms  184.373 ms  184.184 ms  184.100 ms
"
39.net,8," 8  * * * * * * * * * *
"
39.net,9," 9  * * * * * * * * * *
"
39.net,10,"10  * * * * * * * * * *
"
39.net,11,"11  * * * * * * * * * *
"
39.net,12,"12  218.241.244.14 (218.241.244.14)  211.886 ms 218.241.244.6 (218.241.244.6)  208.992 ms 218.241.244.18 (218.241.244.18)  199.341 ms 218.241.244.10 (218.241.244.10)  207.090 ms 218.241.244.18 (218.241.244.18)  199.856 ms 218.241.244.2 (218.241.244.2)  210.749 ms 218.241.244.10 (218.241.244.10)  207.260 ms 218.241.244.18 (218.241.244.18)  200.120 ms 218.241.244.22 (218.241.244.22)  210.005 ms 218.241.244.6 (218.241.244.6)  209.484 ms
"
39.net,13,"13  * * * * 218.241.255.250 (218.241.255.250)  197.348 ms * * *  196.199 ms *
"
39.net,14,"14  124.202.11.126 (124.202.11.126)  262.310 ms  262.959 ms  261.840 ms *  262.406 ms  262.503 ms  261.881 ms  262.722 ms  262.801 ms  262.757 ms
"
39.net,15,"15  * * * * * * * * * *
"
39.net,16,"16  219.238.238.42 (219.238.238.42)  206.309 ms *  206.188 ms *  206.628 ms  206.952 ms  206.788 ms *  207.460 ms  206.220 ms
"
