URL,TTL,Response_Message
abcnews.go.com,0,"traceroute to abcnews.go.com (54.240.168.4), 30 hops max, 60 byte packets
"
abcnews.go.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.327 ms  0.233 ms  0.251 ms  0.414 ms  0.316 ms  0.252 ms  0.319 ms  0.263 ms  0.395 ms  0.261 ms
"
abcnews.go.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.568 ms  0.578 ms  0.740 ms  0.525 ms  0.576 ms  0.506 ms  0.473 ms  0.560 ms  0.537 ms  0.550 ms
"
abcnews.go.com,3," 3  amsterdam-nik-b1-xe0-0-2-vlan3831.fiord.net (62.140.245.201)  35.910 ms  38.426 ms  38.397 ms  38.937 ms  38.665 ms  38.385 ms  35.958 ms  38.451 ms  35.919 ms  38.385 ms
"
abcnews.go.com,4," 4  99.82.176.96 (99.82.176.96)  35.541 ms  33.066 ms  35.516 ms  35.547 ms  35.446 ms  35.531 ms  35.414 ms  32.865 ms  32.995 ms  35.900 ms
"
abcnews.go.com,5," 5  52.93.0.54 (52.93.0.54)  45.445 ms 52.93.0.150 (52.93.0.150)  37.434 ms 52.93.0.70 (52.93.0.70)  37.287 ms 52.93.0.86 (52.93.0.86)  33.838 ms 52.93.0.118 (52.93.0.118)  33.838 ms 52.93.0.70 (52.93.0.70)  36.487 ms  36.438 ms 52.93.0.150 (52.93.0.150)  34.155 ms  36.534 ms 52.93.0.38 (52.93.0.38)  36.587 ms
"
abcnews.go.com,6," 6  52.93.113.239 (52.93.113.239)  35.740 ms 52.93.113.249 (52.93.113.249)  35.764 ms 52.93.113.247 (52.93.113.247)  35.877 ms 52.93.113.241 (52.93.113.241)  33.281 ms 52.93.113.249 (52.93.113.249)  33.148 ms 52.93.113.241 (52.93.113.241)  54.228 ms  34.055 ms 52.93.113.249 (52.93.113.249)  51.386 ms 52.93.113.63 (52.93.113.63)  36.084 ms  33.090 ms
"
abcnews.go.com,7," 7  * * * * * * * * * *
"
abcnews.go.com,8," 8  * * * * * * * * * *
"
abcnews.go.com,9," 9  * * * * * * * * * *
"
abcnews.go.com,10,"10  * * * * * * * * * *
"
abcnews.go.com,11,"11  * * * * * * * * * *
"
abcnews.go.com,12,"12  server-54-240-168-4.ams54.r.cloudfront.net (54.240.168.4)  35.703 ms  35.629 ms  35.701 ms  33.158 ms  35.682 ms  35.718 ms  35.671 ms  38.236 ms  35.726 ms  35.653 ms
"
