URL,TTL,Response_Message
ameba.jp,0,"traceroute to ameba.jp (27.133.212.123), 30 hops max, 60 byte packets
"
ameba.jp,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.221 ms  0.270 ms  0.216 ms  0.298 ms  1.888 ms  0.929 ms  2.986 ms  0.294 ms  0.292 ms  0.848 ms
"
ameba.jp,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.653 ms  0.680 ms  0.702 ms  18.383 ms  0.841 ms  0.678 ms  0.740 ms  0.769 ms  0.695 ms  0.709 ms
"
ameba.jp,3," 3  ae1-9.RT.TC2.LON.UK.retn.net (87.245.233.98)  39.936 ms  39.950 ms  39.928 ms  39.895 ms  39.893 ms  39.857 ms  39.937 ms  49.646 ms  40.227 ms  41.302 ms
"
ameba.jp,4," 4  ldn001bb10.iij.net (195.66.225.237)  39.838 ms  39.776 ms  39.873 ms  39.858 ms  39.792 ms  40.015 ms  39.888 ms  40.626 ms  39.819 ms  39.857 ms
"
ameba.jp,5," 5  tky001bb11.IIJ.Net (58.138.89.229)  206.110 ms  206.136 ms tky001bb10.IIJ.Net (58.138.98.137)  203.081 ms  202.755 ms tky001bb11.IIJ.Net (58.138.89.229)  206.148 ms tky001bb10.IIJ.Net (58.138.98.137)  205.787 ms  202.742 ms  202.651 ms tky001bb11.IIJ.Net (58.138.89.229)  206.250 ms  206.439 ms
"
ameba.jp,6," 6  tky001ip57.IIJ.Net (58.138.100.22)  203.629 ms  204.109 ms tky001ip57.IIJ.Net (58.138.100.18)  202.692 ms tky001ip57.IIJ.Net (58.138.102.110)  203.732 ms tky001ip57.IIJ.Net (58.138.100.18)  202.826 ms tky001ip57.IIJ.Net (58.138.100.22)  203.960 ms tky001ip57.IIJ.Net (58.138.102.102)  200.292 ms tky001ip57.IIJ.Net (58.138.102.110)  203.821 ms tky001ip57.IIJ.Net (58.138.102.102)  200.465 ms tky001ip57.IIJ.Net (58.138.100.22)  203.677 ms
"
ameba.jp,7," 7  202.232.9.126 (202.232.9.126)  252.930 ms  247.896 ms  251.245 ms  247.933 ms  251.258 ms  251.324 ms  251.227 ms  251.282 ms  252.821 ms  247.848 ms
"
ameba.jp,8," 8  * * * * * * * * * *
"
ameba.jp,9," 9  * * * * * * * * * *
"
ameba.jp,10,"10  27.133.212.123 (27.133.212.123)  258.979 ms  262.323 ms  259.004 ms  262.318 ms  258.924 ms  262.155 ms  258.974 ms  259.044 ms  258.714 ms  262.377 ms
"
ameba.jp,11,"11  * * * * * * * * * *
"
ameba.jp,12,"12  27.133.212.123 (27.133.212.123)  256.682 ms  249.061 ms  244.526 ms  243.412 ms  256.116 ms  251.904 ms  255.997 ms  243.668 ms  253.225 ms  252.075 ms
"
