URL,TTL,Response_Message
atlassian.net,0,"traceroute to atlassian.net (18.184.99.129), 30 hops max, 60 byte packets
"
atlassian.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.276 ms  6.885 ms  0.332 ms  0.271 ms  1.133 ms  0.279 ms  3.463 ms  0.338 ms  0.228 ms  0.375 ms
"
atlassian.net,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.572 ms  1.929 ms  0.603 ms  0.530 ms  0.532 ms  0.499 ms  0.608 ms  0.536 ms  0.500 ms  0.572 ms
"
atlassian.net,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.489 ms  28.628 ms  28.660 ms  26.175 ms  28.583 ms  28.656 ms  28.606 ms  26.096 ms  26.072 ms  28.632 ms
"
atlassian.net,4," 4  amazon-fra-peering.fiord.net (62.140.243.51)  31.273 ms  31.278 ms  28.729 ms amazon-fra-peering.fiord.net (62.140.243.53)  28.744 ms  28.881 ms amazon-fra-peering.fiord.net (62.140.243.51)  38.827 ms  31.205 ms  74.774 ms  31.319 ms amazon-fra-peering.fiord.net (62.140.243.53)  31.222 ms
"
atlassian.net,5," 5  54.239.106.32 (54.239.106.32)  31.982 ms 54.239.106.140 (54.239.106.140)  29.607 ms *  32.091 ms 54.239.106.96 (54.239.106.96)  30.208 ms 54.239.106.118 (54.239.106.118)  29.281 ms 54.239.106.140 (54.239.106.140)  31.976 ms * * 54.239.106.8 (54.239.106.8)  29.359 ms
"
atlassian.net,6," 6  52.93.111.222 (52.93.111.222)  28.583 ms 52.93.111.252 (52.93.111.252)  28.985 ms 52.93.111.238 (52.93.111.238)  29.346 ms 52.93.111.216 (52.93.111.216)  29.414 ms 52.93.111.248 (52.93.111.248)  29.141 ms 52.93.111.250 (52.93.111.250)  31.077 ms 52.93.111.204 (52.93.111.204)  32.024 ms 52.93.111.212 (52.93.111.212)  28.454 ms 52.93.111.204 (52.93.111.204)  28.517 ms 52.93.111.238 (52.93.111.238)  28.468 ms
"
atlassian.net,7," 7  52.93.111.247 (52.93.111.247)  29.904 ms 52.93.111.203 (52.93.111.203)  30.191 ms 52.93.111.229 (52.93.111.229)  28.130 ms 52.93.111.205 (52.93.111.205)  30.442 ms 52.93.111.207 (52.93.111.207)  34.993 ms 52.93.111.229 (52.93.111.229)  27.593 ms 52.93.111.201 (52.93.111.201)  30.079 ms  27.567 ms 52.93.111.255 (52.93.111.255)  27.632 ms 52.93.111.253 (52.93.111.253)  29.696 ms
"
atlassian.net,8," 8  54.239.106.117 (54.239.106.117)  27.115 ms 54.239.106.139 (54.239.106.139)  27.711 ms 54.239.106.29 (54.239.106.29)  29.264 ms 54.239.106.139 (54.239.106.139)  27.111 ms 54.239.106.161 (54.239.106.161)  27.812 ms 54.239.106.95 (54.239.106.95)  29.830 ms 54.239.106.117 (54.239.106.117)  30.539 ms 54.239.106.51 (54.239.106.51)  26.713 ms 54.239.106.29 (54.239.106.29)  29.334 ms 54.239.106.139 (54.239.106.139)  29.326 ms
"
atlassian.net,9," 9  150.222.104.40 (150.222.104.40)  29.511 ms 52.93.23.124 (52.93.23.124)  29.602 ms 150.222.104.44 (150.222.104.44)  27.054 ms 52.93.23.130 (52.93.23.130)  27.441 ms 150.222.104.42 (150.222.104.42)  29.521 ms 150.222.104.40 (150.222.104.40)  29.301 ms 54.239.5.172 (54.239.5.172)  29.657 ms 54.239.4.216 (54.239.4.216)  27.455 ms 52.93.23.124 (52.93.23.124)  29.668 ms 150.222.104.44 (150.222.104.44)  27.422 ms
"
atlassian.net,10,"10  * * * * * * * * * *
"
atlassian.net,11,"11  * * * * * * * * * *
"
atlassian.net,12,"12  * * * * * * * * * *
"
atlassian.net,13,"13  * * * * * * * * * *
"
atlassian.net,14,"14  * * * ec2-18-184-99-129.eu-central-1.compute.amazonaws.com (18.184.99.129)  29.975 ms *  29.984 ms  26.926 ms  27.173 ms  29.896 ms *
"
