URL,TTL,Response_Message
blkget.com,0,"traceroute to blkget.com (96.45.82.26), 30 hops max, 60 byte packets
"
blkget.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.513 ms  0.257 ms  0.236 ms  1.049 ms  0.273 ms  0.374 ms  0.270 ms  0.339 ms  0.321 ms  0.286 ms
"
blkget.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.888 ms  0.672 ms  0.659 ms  0.718 ms  3.055 ms  0.671 ms  0.670 ms  0.958 ms  0.709 ms  0.705 ms
"
blkget.com,3," 3  ae1-5.RT.IRX.FKT.DE.retn.net (87.245.232.244)  29.737 ms ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  31.227 ms ae1-5.RT.IRX.FKT.DE.retn.net (87.245.232.244)  29.863 ms ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  30.914 ms ae1-5.RT.IRX.FKT.DE.retn.net (87.245.232.244)  29.891 ms ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  32.563 ms ae1-5.RT.IRX.FKT.DE.retn.net (87.245.232.244)  29.725 ms ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  30.932 ms ae1-5.RT.IRX.FKT.DE.retn.net (87.245.232.244)  34.877 ms ae8-10.RT.IRX.FKT.DE.retn.net (87.245.232.139)  31.192 ms
"
blkget.com,4," 4  ix-ae-6-0.tcore2.fr0-frankfurt.as6453.net (80.231.65.1)  31.221 ms  32.483 ms  32.172 ms  31.497 ms  32.328 ms  31.056 ms  32.250 ms  32.400 ms  32.247 ms  31.236 ms
"
blkget.com,5," 5  if-ae-9-2.tcore1.fnm-frankfurt.as6453.net (5.23.30.16)  115.686 ms  115.723 ms  115.626 ms  115.804 ms  115.622 ms  116.961 ms  115.789 ms  115.663 ms  116.949 ms  116.830 ms
"
blkget.com,6," 6  if-ae-12-2.tcore2.fnm-frankfurt.as6453.net (195.219.87.1)  124.769 ms  124.958 ms if-ae-6-2.tcore1.av2-amsterdam.as6453.net (195.219.194.149)  119.771 ms if-ae-12-2.tcore2.fnm-frankfurt.as6453.net (195.219.87.1)  126.029 ms if-ae-6-2.tcore1.av2-amsterdam.as6453.net (195.219.194.149)  120.360 ms if-ae-12-60.tcore2.fnm-frankfurt.as6453.net (195.219.156.133)  118.442 ms  118.465 ms if-ae-6-2.tcore1.av2-amsterdam.as6453.net (195.219.194.149)  118.639 ms if-ae-12-80.tcore2.fnm-frankfurt.as6453.net (195.219.156.134)  123.023 ms  122.797 ms
"
blkget.com,7," 7  if-ae-30-2.tcore1.pvu-paris.as6453.net (80.231.153.89)  125.953 ms  124.632 ms if-ae-2-2.tcore2.av2-amsterdam.as6453.net (195.219.194.6)  115.927 ms if-ae-9-2.tcore1.pvu-paris.as6453.net (195.219.87.10)  123.293 ms  123.048 ms  124.400 ms if-ae-2-2.tcore2.av2-amsterdam.as6453.net (195.219.194.6)  115.490 ms if-ae-9-2.tcore1.pvu-paris.as6453.net (195.219.87.10)  123.840 ms  123.208 ms if-ae-2-2.tcore2.av2-amsterdam.as6453.net (195.219.194.6)  116.843 ms
"
blkget.com,8," 8  if-ae-11-2.tcore1.pye-paris.as6453.net (80.231.153.50)  119.701 ms  118.665 ms  118.666 ms if-ae-14-2.tcore2.l78-london.as6453.net (80.231.131.160)  116.570 ms  117.106 ms if-ae-11-2.tcore1.pye-paris.as6453.net (80.231.153.50)  119.667 ms  118.498 ms  119.550 ms if-ae-14-2.tcore2.l78-london.as6453.net (80.231.131.160)  117.204 ms if-ae-11-2.tcore1.pye-paris.as6453.net (80.231.153.50)  118.302 ms
"
blkget.com,9," 9  if-ae-2-2.tcore1.l78-london.as6453.net (80.231.131.2)  119.344 ms  116.606 ms if-ae-3-2.tcore1.l78-london.as6453.net (80.231.154.143)  123.684 ms  136.801 ms  126.237 ms  124.579 ms if-ae-2-2.tcore1.l78-london.as6453.net (80.231.131.2)  116.582 ms if-ae-3-2.tcore1.l78-london.as6453.net (80.231.154.143)  124.744 ms  123.296 ms  123.501 ms
"
blkget.com,10,"10  if-ae-15-2.tcore3.njy-newark.as6453.net (80.231.130.26)  126.132 ms  122.664 ms  124.296 ms  122.664 ms  157.432 ms  137.252 ms  163.296 ms  128.020 ms  144.898 ms  123.968 ms
"
blkget.com,11,"11  if-ae-1-3.tcore4.njy-newark.as6453.net (216.6.57.6)  118.601 ms  116.111 ms  118.770 ms  158.747 ms  138.624 ms  116.623 ms  120.519 ms  119.840 ms  115.792 ms  118.520 ms
"
blkget.com,12,"12  if-ae-12-2.tcore2.aeq-ashburn.as6453.net (216.6.87.42)  119.940 ms  119.762 ms  119.686 ms  116.692 ms  121.259 ms  120.837 ms  119.558 ms  122.624 ms  121.210 ms  128.178 ms
"
blkget.com,13,"13  if-ae-2-2.tcore1.aeq-ashburn.as6453.net (216.6.87.2)  119.793 ms  119.667 ms  115.400 ms  119.530 ms  119.709 ms  119.690 ms  115.866 ms  119.289 ms  118.401 ms  119.696 ms
"
blkget.com,14,"14  66.198.155.129 (66.198.155.129)  123.687 ms  132.454 ms  120.448 ms  120.565 ms  124.635 ms  121.715 ms  124.826 ms  125.323 ms  122.231 ms  125.307 ms
"
blkget.com,15,"15  redirection.dnsmadeeasy.com (96.45.82.26)  123.597 ms  119.427 ms  119.619 ms  123.647 ms  122.283 ms  124.822 ms  124.890 ms  119.037 ms  121.299 ms  126.726 ms
"
