URL,TTL,Response_Message
ebay.in,0,"traceroute to ebay.in (66.135.195.175), 30 hops max, 60 byte packets
"
ebay.in,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.262 ms  0.364 ms  0.271 ms  0.258 ms  0.299 ms  0.253 ms  0.361 ms  0.293 ms  0.453 ms  0.297 ms
"
ebay.in,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.933 ms  0.595 ms  0.737 ms  0.875 ms  0.597 ms  0.555 ms  0.735 ms  0.646 ms  0.683 ms  0.936 ms
"
ebay.in,3," 3  ae4-2.RT.EQX.FKT.DE.retn.net (87.245.233.164)  30.567 ms  30.457 ms  33.355 ms ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  32.446 ms ae4-2.RT.EQX.FKT.DE.retn.net (87.245.233.164)  34.564 ms ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  32.362 ms ae4-2.RT.EQX.FKT.DE.retn.net (87.245.233.164)  30.341 ms  30.098 ms ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  35.861 ms ae4-2.RT.EQX.FKT.DE.retn.net (87.245.233.164)  32.116 ms
"
ebay.in,4," 4  fra1-ber1.ebay.com (80.81.194.73)  31.831 ms  30.569 ms  30.094 ms  30.524 ms  30.502 ms  31.414 ms  30.225 ms  30.479 ms  30.206 ms  30.523 ms
"
ebay.in,5," 5  xe-2-2-1-slc1-bcr2.bb.ebay.com (216.113.190.159)  205.792 ms  184.791 ms xe-0-1-1-nix1-bcr1.bb.ebay.com (216.113.190.50)  172.459 ms xe-2-2-1-slc1-bcr1.bb.ebay.com (216.113.190.145)  174.675 ms  174.460 ms xe-0-1-1-nix1-bcr1.bb.ebay.com (216.113.190.50)  171.805 ms  171.561 ms xe-2-2-1-slc1-bcr1.bb.ebay.com (216.113.190.145)  174.749 ms xe-0-1-1-nix1-bcr1.bb.ebay.com (216.113.190.50)  171.320 ms  172.456 ms
"
ebay.in,6," 6  8.42.120.16 (8.42.120.16)  172.435 ms 8.42.120.28 (8.42.120.28)  172.342 ms 8.42.120.30 (8.42.120.30)  183.267 ms 8.42.120.16 (8.42.120.16)  175.687 ms 8.42.120.26 (8.42.120.26)  183.335 ms 8.42.120.28 (8.42.120.28)  175.395 ms 8.42.120.24 (8.42.120.24)  171.704 ms 8.42.120.20 (8.42.120.20)  171.275 ms 8.42.120.26 (8.42.120.26)  184.482 ms  183.337 ms
"
ebay.in,7," 7  * * * * * * * * * *
"
ebay.in,8," 8  * * * * * * * * * *
"
ebay.in,9," 9  * * * * * * * * * *
"
ebay.in,10,"10  * * * * * * * * * *
"
ebay.in,11,"11  ru.ebay.com (66.135.195.175)  184.265 ms  183.562 ms  172.056 ms  171.322 ms  185.562 ms  175.108 ms  171.954 ms  172.728 ms  175.894 ms  185.006 ms
"
