URL,TTL,Response_Message
goo.ne.jp,0,"traceroute to goo.ne.jp (153.254.147.65), 30 hops max, 60 byte packets
"
goo.ne.jp,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  3.430 ms  0.415 ms  0.376 ms  0.298 ms  0.272 ms  2.116 ms  0.274 ms  0.263 ms  0.342 ms  0.263 ms
"
goo.ne.jp,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.922 ms  0.880 ms  0.823 ms  1.297 ms  1.032 ms  1.215 ms  0.911 ms  0.906 ms  0.903 ms  0.907 ms
"
goo.ne.jp,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.036 ms  17.103 ms  17.017 ms  17.267 ms  17.024 ms  17.043 ms  17.129 ms  16.939 ms  17.027 ms  16.938 ms
"
goo.ne.jp,4," 4  be3463.ccr52.vie01.atlas.cogentco.com (154.54.59.185)  18.260 ms  18.502 ms  18.211 ms  18.134 ms  18.214 ms  18.783 ms  18.136 ms  18.557 ms  18.357 ms  18.257 ms
"
goo.ne.jp,5," 5  ae-14.r01.vienat01.at.bb.gin.ntt.net (129.250.9.129)  18.502 ms  18.677 ms  18.666 ms  18.480 ms  18.556 ms  18.618 ms  18.479 ms  18.554 ms  18.595 ms  18.681 ms
"
goo.ne.jp,6," 6  ae-1.r00.vienat01.at.bb.gin.ntt.net (129.250.2.36)  284.308 ms  284.473 ms  284.266 ms  284.506 ms  284.356 ms  284.377 ms  284.352 ms  284.290 ms  284.340 ms  284.351 ms
"
goo.ne.jp,7," 7  ae-10.r25.frnkge08.de.bb.gin.ntt.net (129.250.4.145)  29.871 ms  30.818 ms  29.752 ms  30.445 ms  29.586 ms  29.727 ms  29.656 ms  30.285 ms  29.697 ms  29.840 ms
"
goo.ne.jp,8," 8  * * * ae-8.r22.asbnva02.us.bb.gin.ntt.net (129.250.4.96)  119.316 ms  117.938 ms *  117.960 ms  117.867 ms *  118.026 ms
"
goo.ne.jp,9," 9  * ae-5.r23.lsanca07.us.bb.gin.ntt.net (129.250.3.189)  180.335 ms  182.192 ms  182.023 ms  181.784 ms *  179.378 ms  183.807 ms  181.684 ms  183.849 ms
"
goo.ne.jp,10,"10  ae-12.r31.tokyjp05.jp.bb.gin.ntt.net (129.250.3.192)  282.692 ms  290.103 ms  284.903 ms  287.869 ms  284.946 ms  298.270 ms  290.409 ms  299.211 ms  288.732 ms  299.833 ms
"
goo.ne.jp,11,"11  ae-3.r03.tokyjp05.jp.bb.gin.ntt.net (129.250.3.56)  284.161 ms  293.772 ms ae-3.r02.tokyjp05.jp.bb.gin.ntt.net (129.250.3.28)  294.305 ms  296.962 ms  283.563 ms  285.911 ms ae-3.r03.tokyjp05.jp.bb.gin.ntt.net (129.250.3.56)  293.681 ms ae-3.r02.tokyjp05.jp.bb.gin.ntt.net (129.250.3.28)  298.783 ms ae-3.r03.tokyjp05.jp.bb.gin.ntt.net (129.250.3.56)  280.944 ms ae-3.r02.tokyjp05.jp.bb.gin.ntt.net (129.250.3.28)  294.389 ms
"
goo.ne.jp,12,"12  ae-0.a00.tokyjp05.jp.bb.gin.ntt.net (129.250.4.6)  293.351 ms ae-1.a00.tokyjp05.jp.bb.gin.ntt.net (129.250.4.26)  309.911 ms  302.239 ms  293.327 ms  301.521 ms  303.462 ms  293.117 ms ae-0.a00.tokyjp05.jp.bb.gin.ntt.net (129.250.4.6)  278.483 ms ae-1.a00.tokyjp05.jp.bb.gin.ntt.net (129.250.4.26)  296.063 ms ae-0.a00.tokyjp05.jp.bb.gin.ntt.net (129.250.4.6)  283.073 ms
"
goo.ne.jp,13,"13  xe-0-0-22-2.a00.tokyjp05.jp.ce.gin.ntt.net (61.213.145.182)  289.075 ms  285.063 ms  292.123 ms  287.277 ms  297.891 ms  292.440 ms  299.955 ms  289.585 ms  287.176 ms  324.613 ms
"
goo.ne.jp,14,"14  153.254.146.253 (153.254.146.253)  280.937 ms  291.381 ms  284.257 ms  289.124 ms  286.345 ms  289.104 ms  280.982 ms  291.739 ms  286.387 ms  291.581 ms
"
goo.ne.jp,15,"15  www.goo.ne.jp (153.254.147.65)  284.756 ms  284.725 ms  290.330 ms  289.670 ms  286.624 ms  286.529 ms  287.107 ms  289.354 ms  297.516 ms  297.582 ms
"
goo.ne.jp,16,"16  * * * * * * * * * *
"
goo.ne.jp,17,"17  www.goo.ne.jp (153.254.147.65)  292.604 ms  286.871 ms  298.432 ms  292.383 ms  279.609 ms  285.058 ms  293.953 ms  292.831 ms  303.454 ms  290.330 ms
"
