URL,TTL,Response_Message
jianshu.com,0,"traceroute to jianshu.com (107.150.101.156), 30 hops max, 60 byte packets
"
jianshu.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.275 ms  6.645 ms  0.259 ms  0.338 ms  0.196 ms  0.283 ms  4.293 ms  1.425 ms  0.321 ms  0.251 ms
"
jianshu.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  10.583 ms  0.640 ms  0.618 ms  0.542 ms  0.547 ms  0.613 ms  0.503 ms  0.589 ms  0.546 ms  0.500 ms
"
jianshu.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  29.180 ms  26.118 ms  28.580 ms  28.640 ms  26.260 ms  26.125 ms  27.888 ms  26.137 ms  26.128 ms  28.665 ms
"
jianshu.com,4," 4  ae7-1245.cr1-fra6.ip4.gtt.net (46.33.79.153)  30.707 ms  28.163 ms  42.132 ms  28.120 ms  31.217 ms  30.119 ms  30.830 ms  28.155 ms  38.303 ms  28.138 ms
"
jianshu.com,5," 5  et-0-0-59.cr3-lax2.ip4.gtt.net (89.149.130.94)  171.528 ms  174.111 ms  174.003 ms  171.503 ms  174.357 ms  171.560 ms  190.351 ms  177.944 ms  171.523 ms  175.261 ms
"
jianshu.com,6," 6  * * * * * * * * * *
"
jianshu.com,7," 7  * 192.254.84.195 (192.254.84.195)  177.023 ms *  172.651 ms *  172.492 ms * *  172.512 ms *
"
jianshu.com,8," 8  104.254.115.233 (104.254.115.233)  178.532 ms  175.341 ms 104.254.114.23 (104.254.114.23)  175.154 ms  173.055 ms 104.254.115.233 (104.254.115.233)  172.752 ms  175.901 ms  172.651 ms  172.923 ms 104.254.114.23 (104.254.114.23)  173.727 ms  174.070 ms
"
jianshu.com,9," 9  * * * * * * * * * *
"
jianshu.com,10,"10  * * * * * * * * * *
"
jianshu.com,11,"11  107.150.101.156 (107.150.101.156)  171.613 ms  174.166 ms  171.601 ms  171.636 ms  171.619 ms  174.156 ms * * * *
"
jianshu.com,12,"12  107.150.101.156 (107.150.101.156)  176.288 ms  175.610 ms  172.652 ms  175.493 ms  175.583 ms  175.626 ms  173.414 ms  175.107 ms  175.175 ms  173.050 ms
"
jianshu.com,13,"13  107.150.101.156 (107.150.101.156)  173.154 ms  172.541 ms  172.537 ms  174.996 ms  174.957 ms  174.984 ms  172.466 ms  172.473 ms  175.000 ms  172.539 ms
"
jianshu.com,14,"14  107.150.101.156 (107.150.101.156)  172.242 ms  173.792 ms  169.241 ms  172.152 ms  171.740 ms  169.716 ms  174.300 ms  171.844 ms  171.731 ms  171.232 ms
"
