URL,TTL,Response_Message
kat.cr,0,"traceroute to kat.cr (91.195.240.126), 30 hops max, 60 byte packets
"
kat.cr,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.270 ms  2.538 ms  0.373 ms  0.305 ms  5.896 ms  1.716 ms  3.490 ms  2.215 ms  0.218 ms  5.719 ms
"
kat.cr,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.556 ms  0.542 ms  1.135 ms  1.195 ms  0.514 ms  0.540 ms  0.570 ms  0.761 ms  0.530 ms  0.592 ms
"
kat.cr,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.656 ms  26.111 ms  26.198 ms  26.082 ms  28.646 ms  28.614 ms  28.599 ms  26.183 ms  28.696 ms  28.612 ms
"
kat.cr,4," 4  ffm-b1-link.telia.net (62.115.63.109)  41.804 ms  30.031 ms  28.790 ms  29.211 ms  30.183 ms  26.187 ms  28.764 ms  28.796 ms  30.158 ms  28.778 ms
"
kat.cr,5," 5  ffm-bb3-link.telia.net (62.115.137.128)  33.450 ms ffm-bb3-link.telia.net (62.115.121.0)  35.926 ms ffm-bb3-link.telia.net (62.115.121.4)  33.403 ms ffm-bb3-link.telia.net (62.115.137.128)  35.964 ms ffm-bb3-link.telia.net (62.115.121.0)  35.957 ms ffm-bb3-link.telia.net (62.115.141.236)  35.954 ms ffm-bb3-link.telia.net (62.115.121.0)  33.447 ms ffm-bb3-link.telia.net (62.115.141.240)  36.241 ms  36.213 ms ffm-bb3-link.telia.net (62.115.137.164)  33.580 ms
"
kat.cr,6," 6  mcn-b2-link.telia.net (62.115.120.132)  35.702 ms mcn-b2-link.telia.net (62.115.120.130)  35.857 ms mcn-b2-link.telia.net (62.115.136.19)  35.916 ms  33.443 ms mcn-b2-link.telia.net (62.115.120.132)  42.044 ms mcn-b2-link.telia.net (213.155.134.13)  38.412 ms  38.331 ms mcn-b2-link.telia.net (62.115.120.128)  35.793 ms mcn-b2-link.telia.net (213.155.134.13)  40.716 ms mcn-b2-link.telia.net (62.115.136.19)  33.357 ms
"
kat.cr,7," 7  internetx-ic-332227-mcn-b2.c.telia.net (62.115.160.178)  115.732 ms internetx-ic-332227-mcn-b2.c.telia.net (62.115.160.179)  114.877 ms  114.841 ms  117.390 ms internetx-ic-332227-mcn-b2.c.telia.net (62.115.160.178)  118.234 ms internetx-ic-332227-mcn-b2.c.telia.net (62.115.160.179)  114.924 ms internetx-ic-332227-mcn-b2.c.telia.net (62.115.160.178)  115.742 ms  118.231 ms internetx-ic-332227-mcn-b2.c.telia.net (62.115.160.179)  119.445 ms  117.472 ms
"
kat.cr,8," 8  91.195.241.102 (91.195.241.102)  117.844 ms  117.738 ms  115.289 ms  117.865 ms  117.769 ms  115.212 ms  115.312 ms  117.787 ms  115.250 ms  117.749 ms
"
kat.cr,9," 9  91.195.241.106 (91.195.241.106)  116.135 ms  116.343 ms  116.632 ms  116.587 ms  118.940 ms  115.613 ms * * * *
"
kat.cr,10,"10  91.195.240.126 (91.195.240.126)  117.430 ms  118.384 ms  115.108 ms  115.388 ms  118.315 ms  115.408 ms  118.422 ms  188.414 ms  167.665 ms  147.253 ms
"
