URL,TTL,Response_Message
libero.it,0,"traceroute to libero.it (213.209.17.209), 30 hops max, 60 byte packets
"
libero.it,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.278 ms  0.343 ms  0.326 ms  0.402 ms  8.779 ms  0.418 ms  0.264 ms  1.438 ms  5.871 ms  7.571 ms
"
libero.it,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  1.044 ms  0.604 ms  0.615 ms  0.691 ms  0.766 ms  0.823 ms  0.818 ms  0.655 ms  0.959 ms  0.714 ms
"
libero.it,3," 3  ae4-2.RT.EQX.FKT.DE.retn.net (87.245.233.164)  30.178 ms  30.121 ms  30.548 ms ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  36.599 ms  33.155 ms ae4-2.RT.EQX.FKT.DE.retn.net (87.245.233.164)  30.325 ms  30.145 ms ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  31.227 ms ae4-2.RT.EQX.FKT.DE.retn.net (87.245.233.164)  30.147 ms ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  32.332 ms
"
libero.it,4," 4  decix.wind.it (80.81.192.215)  49.334 ms  48.863 ms  49.148 ms  48.971 ms  49.032 ms  63.152 ms  63.897 ms  52.309 ms  49.310 ms  49.345 ms
"
libero.it,5," 5  151.6.3.14 (151.6.3.14)  49.910 ms 151.6.3.16 (151.6.3.16)  50.438 ms 151.6.3.14 (151.6.3.14)  50.138 ms  78.187 ms 151.6.3.16 (151.6.3.16)  50.095 ms 151.6.3.14 (151.6.3.14)  50.061 ms 151.6.3.16 (151.6.3.16)  51.545 ms 151.6.3.14 (151.6.3.14)  59.639 ms 151.6.3.16 (151.6.3.16)  54.126 ms  50.011 ms
"
libero.it,6," 6  151.6.2.28 (151.6.2.28)  47.060 ms 151.6.0.6 (151.6.0.6)  46.890 ms 151.6.2.30 (151.6.2.30)  45.961 ms 151.6.3.190 (151.6.3.190)  52.964 ms 151.6.1.15 (151.6.1.15)  50.567 ms 151.6.1.13 (151.6.1.13)  52.231 ms 151.6.0.6 (151.6.0.6)  47.932 ms 151.6.0.8 (151.6.0.8)  47.103 ms 151.6.1.15 (151.6.1.15)  50.220 ms 151.6.2.28 (151.6.2.28)  70.031 ms
"
libero.it,7," 7  151.6.7.3 (151.6.7.3)  46.752 ms 151.6.0.191 (151.6.0.191)  46.420 ms MICA-TO2-MICL-N01-po02.wind.it (151.6.2.49)  49.989 ms 151.6.6.129 (151.6.6.129)  52.077 ms 151.6.7.11 (151.6.7.11)  47.311 ms 151.6.6.129 (151.6.6.129)  47.432 ms 151.6.5.255 (151.6.5.255)  51.363 ms 151.6.5.231 (151.6.5.231)  50.325 ms 151.6.6.129 (151.6.6.129)  50.819 ms  47.202 ms
"
libero.it,8," 8  151.7.80.145 (151.7.80.145)  50.887 ms 151.7.80.21 (151.7.80.21)  51.368 ms 151.7.80.65 (151.7.80.65)  47.385 ms 151.7.80.59 (151.7.80.59)  47.206 ms 151.7.80.73 (151.7.80.73)  47.229 ms 151.7.80.3 (151.7.80.3)  50.308 ms 151.6.44.53 (151.6.44.53)  47.384 ms 151.7.80.145 (151.7.80.145)  50.834 ms 151.7.80.141 (151.7.80.141)  47.413 ms MICA-D29-fe00.wind.it (151.6.45.17)  50.291 ms
"
libero.it,9," 9  * * * * * * * * * *
"
libero.it,10,"10  151.14.112.6 (151.14.112.6)  47.642 ms 151.14.124.6 (151.14.124.6)  49.885 ms  52.373 ms  52.300 ms  50.531 ms  50.530 ms  50.997 ms 151.14.112.6 (151.14.112.6)  46.697 ms  47.807 ms 151.14.124.6 (151.14.124.6)  50.964 ms
"
libero.it,11,"11  * * * * * * * * * *
"
libero.it,12,"12  * * * * * * * * * *
"
libero.it,13,"13  213.209.17.209 (213.209.17.209)  48.746 ms  51.240 ms  52.924 ms  48.964 ms  47.232 ms  49.708 ms  49.921 ms  49.384 ms  51.422 ms  56.092 ms
"
