URL,TTL,Response_Message
loading-delivery2.com,0,"traceroute to loading-delivery2.com (141.0.174.17), 30 hops max, 60 byte packets
"
loading-delivery2.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.414 ms  0.362 ms  0.262 ms  0.270 ms  0.256 ms  0.373 ms  0.269 ms  0.267 ms  0.264 ms  0.328 ms
"
loading-delivery2.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.489 ms  0.508 ms  0.583 ms  0.558 ms  0.536 ms  0.627 ms  0.503 ms  0.556 ms  0.497 ms  2.606 ms
"
loading-delivery2.com,3," 3  amsterdam-nik-b1-xe0-0-2-vlan3831.fiord.net (62.140.245.201)  38.488 ms  35.903 ms  40.951 ms  35.946 ms  38.461 ms  38.454 ms  35.909 ms  35.919 ms  35.913 ms  35.876 ms
"
loading-delivery2.com,4," 4  80.249.211.163 (80.249.211.163)  39.538 ms  36.438 ms  36.210 ms  36.470 ms  36.206 ms  36.335 ms  38.869 ms  38.954 ms  39.034 ms  38.878 ms
"
loading-delivery2.com,5," 5  138.197.244.93 (138.197.244.93)  36.784 ms  36.846 ms 138.197.244.95 (138.197.244.95)  36.827 ms  36.735 ms 138.197.244.93 (138.197.244.93)  38.380 ms 138.197.244.95 (138.197.244.95)  36.869 ms 138.197.244.93 (138.197.244.93)  35.114 ms  36.793 ms  36.673 ms  34.361 ms
"
loading-delivery2.com,6," 6  * * * * * * * * * *
"
loading-delivery2.com,7," 7  * * * * * * * * * *
"
loading-delivery2.com,8," 8  * * * * * * * * * *
"
loading-delivery2.com,9," 9  * * * * * * * * * *
"
loading-delivery2.com,10,"10  * * * * * * * * * *
"
loading-delivery2.com,11,"11  * * * * * * * * * *
"
loading-delivery2.com,12,"12  * * * * * * * * * *
"
loading-delivery2.com,13,"13  * * * * * * * * * *
"
loading-delivery2.com,14,"14  * * * * * * * * * *
"
loading-delivery2.com,15,"15  * * * * * * * * * *
"
loading-delivery2.com,16,"16  * * * * * * * * * *
"
loading-delivery2.com,17,"17  * * * * * * * * * *
"
loading-delivery2.com,18,"18  * * * * * * * * * *
"
loading-delivery2.com,19,"19  * * * * * * * * * *
"
loading-delivery2.com,20,"20  * * * * * * * * * *
"
loading-delivery2.com,21,"21  * * * * * * * * * *
"
loading-delivery2.com,22,"22  * * * * * * * * * *
"
loading-delivery2.com,23,"23  * * * * * * * * * *
"
loading-delivery2.com,24,"24  * * * * * * * * * *
"
loading-delivery2.com,25,"25  * * * * * * * * * *
"
loading-delivery2.com,26,"26  * * * * * * * * * *
"
loading-delivery2.com,27,"27  * * * * * * * * * *
"
loading-delivery2.com,28,"28  * * * * * * * * * *
"
loading-delivery2.com,29,"29  * * * * * * * * * *
"
loading-delivery2.com,30,"30  * * * * * * * * * *
"
